Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10.090000,10.250000,9.930000,9.970000,8.493169,2349953
2018-01-03,9.980000,10.000000,9.910000,9.930000,8.459095,1432155
2018-01-04,10.010000,10.030000,9.855000,9.880000,8.416501,2468259
2018-01-05,9.930000,9.980000,9.920000,9.980000,8.501686,1826161
2018-01-08,9.980000,10.070000,9.960000,10.030000,8.544281,1878234
2018-01-09,10.070000,10.090000,9.980000,10.030000,8.544281,3094367
2018-01-10,10.090000,10.110000,10.050000,10.070000,8.578356,2259112
2018-01-11,10.100000,10.230000,10.090000,10.130000,8.629468,2479805
2018-01-12,10.230000,10.230000,10.130000,10.140000,8.637987,2107000
2018-01-15,10.200000,10.230000,10.100000,10.100000,8.603911,1736580
2018-01-16,10.070000,10.140000,10.020000,10.040000,8.552800,1756374
2018-01-17,10.000000,10.040000,9.920000,9.940000,8.467611,2434047
2018-01-18,9.980000,9.980000,9.850000,9.870000,8.407981,2292227
2018-01-19,9.810000,9.840000,9.760000,9.790000,8.339831,3526503
2018-01-22,9.840000,9.905000,9.810000,9.810000,8.356870,1926123
2018-01-23,9.800000,9.845000,9.705000,9.790000,8.339831,3456845
2018-01-24,9.780000,9.950000,9.780000,9.890000,8.425017,2942889
2018-01-25,9.890000,9.950000,9.820000,9.920000,8.450576,2583809
2018-01-29,10.060000,10.100000,9.960000,9.970000,8.493169,2964612
2018-01-30,9.910000,9.960000,9.830000,9.900000,8.433537,2719704
2018-01-31,9.850000,9.930000,9.840000,9.900000,8.433537,3673340
2018-02-01,9.940000,10.010000,9.900000,9.930000,8.459095,2354934
2018-02-02,9.870000,10.030000,9.860000,9.980000,8.501686,1969898
2018-02-05,9.900000,10.050000,9.890000,9.930000,8.459095,2790691
2018-02-06,9.710000,9.770000,9.530000,9.610000,8.186496,5098109
2018-02-07,9.700000,9.710000,9.570000,9.660000,8.229090,4692703
2018-02-08,9.630000,9.815000,9.620000,9.780000,8.331311,3230619
2018-02-09,9.700000,9.830000,9.630000,9.810000,8.356870,4106974
2018-02-12,9.800000,9.830000,9.640000,9.700000,8.263162,2845097
2018-02-13,9.730000,9.770000,9.620000,9.760000,8.314276,2859461
2018-02-14,9.720000,9.750000,9.550000,9.600000,8.177975,4172170
2018-02-15,9.700000,9.750000,9.555000,9.580000,8.160939,4211393
2018-02-16,9.630000,9.750000,9.620000,9.630000,8.203532,4345181
2018-02-19,9.600000,9.900000,9.300000,9.740000,8.297237,6424895
2018-02-20,9.740000,9.740000,9.580000,9.640000,8.212049,5923669
2018-02-21,9.700000,9.725000,9.550000,9.570000,8.152420,2788506
2018-02-22,9.620000,9.620000,9.400000,9.550000,8.135382,5538434
2018-02-23,9.600000,9.640000,9.530000,9.640000,8.212049,3669990
2018-02-26,9.700000,9.715000,9.620000,9.680000,8.246126,3451850
2018-02-27,9.720000,9.760000,9.610000,9.620000,8.195012,3737336
2018-02-28,9.630000,9.690000,9.565000,9.600000,8.177975,4768456
2018-03-01,9.550000,9.560000,9.490000,9.510000,8.101308,3084198
2018-03-02,9.500000,9.550000,9.390000,9.440000,8.041675,2957669
2018-03-05,9.500000,9.550000,9.390000,9.420000,8.024639,5535009
2018-03-06,9.500000,9.540000,9.420000,9.500000,8.092789,3963894
2018-03-07,9.350000,9.380000,9.240000,9.260000,8.010608,4092592
2018-03-08,9.300000,9.340000,9.205000,9.290000,8.036558,3781656
2018-03-09,9.320000,9.465000,9.270000,9.420000,8.149019,3689733
2018-03-12,9.520000,9.530000,9.360000,9.410000,8.140367,2869495
2018-03-13,9.430000,9.450000,9.335000,9.430000,8.157669,3196935
2018-03-14,9.360000,9.445000,9.280000,9.410000,8.140367,2467542
2018-03-15,9.380000,9.640000,9.260000,9.550000,8.261478,7434466
2018-03-16,9.550000,9.720000,9.530000,9.670000,8.365287,8284022
2018-03-19,9.750000,9.965000,9.730000,9.900000,8.564255,7559937
2018-03-20,9.890000,10.020000,9.860000,9.990000,8.642113,3291037
2018-03-21,10.000000,10.020000,9.910000,9.960000,8.616158,2761273
2018-03-22,10.020000,10.090000,9.915000,9.950000,8.607509,4034983
2018-03-23,9.860000,9.960000,9.700000,9.730000,8.417192,5075003
2018-03-26,9.730000,9.840000,9.650000,9.740000,8.425842,4027232
2018-03-27,9.910000,10.000000,9.810000,9.890000,8.555604,4146442
2018-03-28,9.830000,9.990000,9.820000,9.970000,8.624811,5222680
2018-03-29,10.010000,10.100000,9.980000,9.980000,8.633460,5657499
2018-04-03,9.920000,9.990000,9.860000,9.900000,8.564255,3025820
2018-04-04,9.940000,9.940000,9.805000,9.940000,8.598858,3490347
2018-04-05,9.940000,9.970000,9.830000,9.830000,8.503700,3037010
2018-04-06,9.850000,9.880000,9.770000,9.830000,8.503700,3518120
2018-04-09,9.830000,9.910000,9.820000,9.890000,8.555604,2093285
2018-04-10,9.790000,9.910000,9.740000,9.890000,8.555604,3381174
2018-04-11,9.820000,9.840000,9.775000,9.790000,8.469096,2561315
2018-04-12,9.750000,9.750000,9.550000,9.620000,8.322034,3725822
2018-04-13,9.700000,9.720000,9.550000,9.580000,8.287430,2002546
2018-04-16,9.620000,9.680000,9.540000,9.660000,8.356637,2176264
2018-04-17,9.700000,9.800000,9.650000,9.680000,8.373940,2482355
2018-04-18,9.750000,9.810000,9.700000,9.710000,8.399890,2231118
2018-04-19,9.790000,9.790000,9.670000,9.710000,8.399890,3028389
2018-04-20,9.700000,9.710000,9.550000,9.640000,8.339334,3263297
2018-04-23,9.600000,9.640000,9.560000,9.610000,8.313383,2366539
2018-04-24,9.650000,9.770000,9.600000,9.740000,8.425842,3066544
2018-04-26,9.810000,9.950000,9.770000,9.830000,8.503700,2975904
2018-04-27,9.920000,9.940000,9.855000,9.910000,8.572906,4175772
2018-04-30,9.900000,9.920000,9.850000,9.870000,8.538302,3151869
2018-05-01,9.910000,9.940000,9.790000,9.800000,8.477748,3868039
2018-05-02,9.850000,9.920000,9.850000,9.870000,8.538302,3779540
2018-05-03,9.900000,9.920000,9.810000,9.880000,8.546955,2627458
2018-05-04,9.910000,9.990000,9.790000,9.800000,8.477748,3440295
2018-05-07,9.850000,9.900000,9.775000,9.820000,8.495049,2310911
2018-05-08,9.860000,9.950000,9.830000,9.870000,8.538302,2851340
2018-05-09,9.930000,9.990000,9.910000,9.970000,8.624811,2551468
2018-05-10,10.000000,10.030000,9.920000,9.920000,8.581556,2633431
2018-05-11,9.930000,10.010000,9.850000,9.850000,8.521000,2455623
2018-05-14,9.900000,9.910000,9.830000,9.880000,8.546955,3422754
2018-05-15,9.880000,9.940000,9.810000,9.820000,8.495049,3680902
2018-05-16,9.850000,9.930000,9.610000,9.610000,8.313383,47761148
2018-05-17,9.590000,9.590000,9.360000,9.390000,8.123066,6612811
2018-05-18,9.430000,9.430000,9.130000,9.240000,7.993303,7276949
2018-05-21,9.300000,9.400000,9.285000,9.300000,8.045209,4575155
2018-05-22,9.280000,9.295000,9.180000,9.270000,8.019257,5207264
2018-05-23,9.270000,9.345000,9.160000,9.250000,8.001956,3998234
2018-05-24,9.170000,9.240000,9.090000,9.110000,7.880845,5688348
2018-05-25,9.070000,9.130000,9.020000,9.110000,7.880845,7313213
2018-05-28,9.110000,9.230000,9.100000,9.130000,7.898148,11937427
2018-05-29,9.160000,9.180000,9.070000,9.150000,7.915448,4987171
2018-05-30,9.060000,9.150000,9.040000,9.060000,7.837591,5098188
2018-05-31,9.060000,9.160000,9.025000,9.030000,7.811638,11890378
2018-06-01,8.980000,9.090000,8.970000,9.050000,7.828941,5290725
2018-06-04,9.060000,9.070000,8.940000,8.960000,7.751083,5427060
2018-06-05,8.950000,9.040000,8.930000,9.020000,7.802989,4466178
2018-06-06,8.990000,9.140000,8.970000,9.130000,7.898148,3915466
2018-06-07,9.100000,9.190000,9.090000,9.170000,7.932749,2810472
2018-06-08,9.150000,9.170000,9.040000,9.060000,7.837591,2191656
2018-06-12,9.050000,9.085000,8.980000,9.010000,7.794338,6048601
2018-06-13,8.990000,9.120000,8.970000,9.070000,7.846242,3582727
2018-06-14,9.050000,9.170000,8.990000,9.030000,7.811638,3875566
2018-06-15,9.080000,9.190000,9.065000,9.190000,7.950051,6309056
2018-06-18,9.190000,9.220000,9.075000,9.130000,7.898148,2989484
2018-06-19,9.140000,9.240000,9.080000,9.180000,7.941401,3768979
2018-06-20,9.180000,9.200000,8.940000,9.020000,7.802989,8850271
2018-06-21,9.020000,9.100000,8.970000,9.000000,7.785686,9173114
2018-06-22,8.990000,9.095000,8.980000,9.040000,7.820289,4743913
2018-06-25,8.980000,9.040000,8.910000,8.930000,7.725133,5752499
2018-06-26,8.870000,8.920000,8.800000,8.910000,7.707829,6406065
2018-06-27,8.840000,8.860000,8.580000,8.620000,7.456957,17538955
2018-06-28,8.630000,8.940000,8.610000,8.900000,7.699178,6816235
2018-06-29,8.870000,8.980000,8.840000,8.880000,7.681877,5235833
2018-07-02,8.900000,8.930000,8.825000,8.920000,7.716479,2944031
2018-07-03,8.910000,9.240000,8.870000,9.210000,7.967352,5982214
2018-07-04,9.140000,9.320000,9.120000,9.210000,7.967352,4984098
2018-07-05,9.220000,9.240000,9.040000,9.080000,7.854892,22307520
2018-07-06,9.090000,9.200000,9.070000,9.170000,7.932749,3972504
2018-07-09,9.160000,9.260000,9.110000,9.210000,7.967352,3552032
2018-07-10,9.290000,9.290000,9.210000,9.210000,7.967352,4230077
2018-07-11,9.200000,9.335000,9.160000,9.200000,7.958702,2911662
2018-07-12,9.180000,9.350000,9.160000,9.280000,8.027908,5336596
2018-07-13,9.290000,9.470000,9.290000,9.410000,8.140367,5148549
2018-07-16,9.490000,9.540000,9.440000,9.520000,8.235526,3725674
2018-07-17,9.520000,9.520000,9.400000,9.490000,8.209573,3124144
2018-07-18,9.530000,9.580000,9.470000,9.510000,8.226876,4710085
2018-07-19,9.540000,9.640000,9.480000,9.590000,8.296082,4066201
2018-07-20,9.640000,9.800000,9.620000,9.630000,8.330684,4910779
2018-07-23,9.640000,9.720000,9.570000,9.630000,8.330684,2790251
2018-07-24,9.760000,9.810000,9.690000,9.700000,8.391240,4652904
2018-07-25,9.710000,9.740000,9.595000,9.660000,8.356637,3305668
2018-07-26,9.790000,9.790000,9.640000,9.700000,8.391240,5571740
2018-07-27,9.790000,9.920000,9.760000,9.840000,8.512350,4791959
2018-07-30,9.810000,9.900000,9.755000,9.810000,8.486398,3234866
2018-07-31,9.850000,9.920000,9.785000,9.880000,8.546955,3867156
2018-08-01,9.920000,9.950000,9.840000,9.880000,8.546955,3268668
2018-08-02,9.900000,9.990000,9.850000,9.890000,8.555604,4080037
2018-08-03,9.960000,9.980000,9.885000,9.910000,8.572906,2467553
2018-08-06,9.950000,10.040000,9.880000,9.890000,8.555604,2077993
2018-08-07,9.900000,9.980000,9.780000,9.790000,8.469096,4328709
2018-08-08,9.790000,9.860000,9.760000,9.760000,8.443144,5055053
2018-08-09,9.790000,10.015000,9.750000,9.950000,8.607509,5329459
2018-08-10,9.930000,9.950000,9.550000,9.690000,8.382588,6035762
2018-08-13,9.750000,9.780000,9.670000,9.700000,8.391240,2843320
2018-08-14,9.720000,9.850000,9.690000,9.780000,8.460445,4743952
2018-08-15,9.800000,10.010000,9.760000,9.970000,8.624811,4766688
2018-08-16,10.000000,10.150000,9.970000,10.110000,8.745920,4234396
2018-08-17,10.150000,10.160000,9.880000,9.940000,8.598858,6552742
2018-08-20,9.910000,10.020000,9.910000,9.950000,8.607509,3852722
2018-08-21,9.990000,9.990000,9.855000,9.900000,8.564255,2217041
2018-08-22,9.990000,10.080000,9.860000,9.890000,8.555604,2979937
2018-08-23,9.880000,10.060000,9.880000,9.960000,8.616158,3300882
2018-08-24,10.500000,10.860000,10.485000,10.600000,9.169809,12716011
2018-08-27,10.600000,10.810000,10.380000,10.740000,9.290919,7562763
2018-08-28,10.800000,10.905000,10.705000,10.860000,9.394728,6179066
2018-08-29,10.900000,10.920000,10.790000,10.880000,9.412028,3937931
2018-08-30,10.920000,11.000000,10.800000,10.910000,9.437982,4885395
2018-08-31,10.890000,11.015000,10.820000,10.970000,9.489887,7888157
2018-09-03,11.020000,11.040000,10.900000,10.950000,9.472584,2620017
2018-09-04,10.940000,10.950000,10.880000,10.950000,9.472584,3469073
2018-09-05,10.960000,10.970000,10.710000,10.890000,9.420683,5758531
2018-09-06,10.950000,11.000000,10.880000,10.960000,9.481236,5977890
2018-09-07,10.910000,10.980000,10.770000,10.920000,9.446633,3479019
2018-09-10,10.910000,11.170000,10.910000,11.140000,9.636950,4102516
2018-09-11,11.100000,11.220000,11.005000,11.220000,9.834161,6559535
2018-09-12,11.700000,11.750000,11.180000,11.320000,9.921806,7718256
2018-09-13,11.290000,11.320000,11.170000,11.180000,9.799100,3297155
2018-09-14,11.230000,11.230000,11.070000,11.100000,9.728980,3471815
2018-09-17,11.170000,11.170000,10.970000,11.040000,9.676393,3066027
2018-09-18,10.980000,11.030000,10.920000,10.950000,9.597507,4883060
2018-09-19,10.950000,10.980000,10.690000,10.790000,9.457271,5152307
2018-09-20,10.760000,10.860000,10.640000,10.690000,9.369621,4360082
2018-09-21,10.680000,10.780000,10.620000,10.690000,9.369621,6580831
2018-09-24,10.650000,10.730000,10.600000,10.650000,9.334561,3326845
2018-09-25,10.660000,10.920000,10.620000,10.900000,9.553683,3602295
2018-09-26,10.940000,10.980000,10.860000,10.930000,9.579980,3390864
2018-09-27,10.820000,10.875000,10.755000,10.790000,9.457271,4073545
2018-09-28,10.890000,11.010000,10.790000,10.900000,9.553683,5393070
2018-10-01,10.820000,11.020000,10.800000,10.950000,9.597507,1560530
2018-10-02,11.010000,11.150000,10.890000,10.890000,9.544921,4170706
2018-10-03,10.920000,11.020000,10.860000,10.940000,9.588742,3251912
2018-10-04,10.940000,11.060000,10.880000,11.000000,9.641333,4979728
2018-10-05,10.920000,11.020000,10.900000,10.940000,9.588742,2100614
2018-10-08,10.840000,10.930000,10.720000,10.740000,9.413446,3091480
2018-10-09,10.730000,10.820000,10.615000,10.630000,9.317033,4696232
2018-10-10,10.630000,10.690000,10.510000,10.600000,9.290739,5858128
2018-10-11,10.310000,10.505000,10.280000,10.390000,9.106676,6600934
2018-10-12,10.370000,10.610000,10.350000,10.430000,9.141737,4290372
2018-10-15,10.290000,10.400000,10.150000,10.240000,8.975203,4737788
2018-10-16,10.390000,10.405000,10.250000,10.350000,9.071618,3913653
2018-10-17,10.390000,10.550000,10.380000,10.530000,9.229383,2859661
2018-10-18,10.560000,10.580000,10.470000,10.570000,9.264443,3077980
2018-10-19,10.500000,10.620000,10.470000,10.590000,9.281974,3565781
2018-10-22,10.490000,10.550000,10.310000,10.420000,9.132970,2272142
2018-10-23,10.310000,10.500000,10.220000,10.400000,9.115440,3178746
2018-10-24,10.800000,10.910000,10.540000,10.740000,9.413446,6270538
2018-10-25,10.590000,10.680000,10.450000,10.550000,9.246913,5660115
2018-10-26,10.580000,10.590000,10.390000,10.480000,9.185560,5082744
2018-10-29,10.450000,10.535000,10.360000,10.470000,9.176794,2866658
2018-10-30,10.350000,10.570000,10.330000,10.560000,9.255681,2924947
2018-10-31,10.570000,10.785000,10.570000,10.620000,9.308267,4791638
2018-11-01,10.660000,10.660000,10.410000,10.460000,9.168031,3666078
2018-11-02,10.340000,10.525000,10.220000,10.520000,9.220620,3696349
2018-11-05,10.510000,10.600000,10.430000,10.520000,9.220620,2180579
2018-11-06,10.450000,10.610000,10.245000,10.570000,9.264443,2688876
2018-11-07,10.450000,10.645000,10.430000,10.600000,9.290739,3719131
2018-11-08,10.680000,10.750000,10.630000,10.670000,9.352094,3489931
2018-11-09,10.560000,10.680000,10.490000,10.560000,9.255681,2919931
2018-11-12,10.510000,10.830000,10.510000,10.790000,9.457271,2624397
2018-11-13,10.680000,10.690000,10.550000,10.550000,9.246913,3797085
2018-11-14,10.490000,10.640000,10.465000,10.480000,9.185560,3646955
2018-11-15,10.440000,10.510000,10.315000,10.420000,9.132970,3602721
2018-11-16,10.500000,10.550000,10.280000,10.330000,9.054088,4111381
2018-11-19,10.260000,10.390000,10.220000,10.260000,8.992733,2559786
2018-11-20,10.250000,10.350000,10.190000,10.320000,9.045323,3544546
2018-11-21,10.210000,10.510000,10.200000,10.490000,9.194325,3364038
2018-11-22,10.590000,10.590000,10.380000,10.520000,9.220620,2669842
2018-11-23,10.410000,10.480000,10.340000,10.400000,9.115440,3339272
2018-11-26,10.380000,10.440000,10.310000,10.370000,9.089148,3955050
2018-11-27,10.470000,10.520000,10.340000,10.480000,9.185560,3039522
2018-11-28,10.500000,10.565000,10.450000,10.530000,9.229383,7505556
2018-11-29,10.600000,10.675000,10.430000,10.480000,9.185560,5238954
2018-11-30,10.500000,10.580000,10.270000,10.270000,9.001498,7563552
2018-12-03,10.440000,10.440000,10.190000,10.260000,8.992733,3529874
2018-12-04,10.290000,10.440000,10.210000,10.240000,8.975203,4187662
2018-12-05,10.060000,10.300000,10.050000,10.280000,9.010263,4203906
2018-12-06,10.330000,10.360000,10.170000,10.220000,8.957674,2974684
2018-12-07,10.180000,10.370000,10.160000,10.330000,9.054088,3646422
2018-12-10,10.260000,10.300000,10.010000,10.050000,8.808672,3187572
2018-12-11,10.110000,10.130000,10.020000,10.130000,8.878791,4489492
2018-12-12,10.140000,10.140000,10.030000,10.100000,8.852496,4763917
2018-12-13,10.050000,10.140000,10.000000,10.000000,8.764846,2710822
2018-12-14,9.910000,9.980000,9.820000,9.900000,8.677198,4004448
2018-12-17,9.940000,10.160000,9.900000,10.110000,8.861259,3900688
2018-12-18,10.070000,10.110000,9.970000,10.050000,8.808672,3067821
2018-12-19,10.030000,10.070000,9.910000,10.020000,8.782377,3441227
2018-12-20,10.080000,10.150000,9.990000,10.080000,8.834966,9335060
