Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16.150000,16.469999,16.150000,16.309999,14.113854,557848
2018-01-03,16.270000,16.350000,16.150000,16.250000,14.061934,798533
2018-01-04,16.299999,16.520000,16.290001,16.379999,14.174428,1025355
2018-01-05,16.469999,16.514999,16.379999,16.389999,14.183084,1267783
2018-01-08,16.469999,16.504999,16.330000,16.350000,14.148468,639700
2018-01-09,16.389999,16.440001,16.309999,16.330000,14.131161,1499868
2018-01-10,16.410000,16.670000,16.400000,16.430000,14.217695,1189666
2018-01-11,16.400000,16.440001,16.160000,16.240000,14.053279,732863
2018-01-12,16.230000,16.400000,16.129999,16.280001,14.087894,1033751
2018-01-15,16.350000,16.350000,16.100000,16.110001,13.940784,633463
2018-01-16,16.059999,16.195000,16.040001,16.090000,13.923478,802020
2018-01-17,16.000000,16.100000,15.980000,16.020000,13.862906,1345232
2018-01-18,16.020000,16.270000,15.950000,16.110001,13.940784,923097
2018-01-19,16.090000,16.400000,16.090000,16.379999,14.174428,1088397
2018-01-22,16.299999,16.510000,16.250000,16.510000,14.286926,911120
2018-01-23,16.549999,16.809999,16.530001,16.740000,14.485956,1090929
2018-01-24,16.719999,16.840000,16.650000,16.790001,14.529226,1457390
2018-01-25,16.840000,16.920000,16.760000,16.900000,14.624413,1418590
2018-01-29,16.959999,17.090000,16.790001,16.790001,14.529226,1182539
2018-01-30,16.660000,16.805000,16.520000,16.549999,14.321537,1306903
2018-01-31,16.410000,16.760000,16.365000,16.700001,14.451343,1397416
2018-02-01,16.799999,16.910000,16.700001,16.910000,14.633066,1073420
2018-02-02,16.799999,17.059999,16.750000,17.020000,14.728253,994092
2018-02-05,16.879999,17.139999,16.799999,17.120001,14.814790,1345418
2018-02-06,16.450001,16.690001,16.049999,16.180000,14.001360,2562908
2018-02-07,16.200001,16.350000,16.030001,16.290001,14.096548,1845532
2018-02-08,15.950000,16.129999,15.900000,16.080000,13.914824,1796546
2018-02-09,15.790000,16.080000,15.710000,16.059999,13.897517,1276610
2018-02-12,16.030001,16.270000,15.970000,16.190001,14.010014,1135731
2018-02-13,16.150000,16.549999,16.129999,16.490000,14.269617,1599197
2018-02-14,17.290001,17.700001,17.190001,17.290001,14.961896,4394545
2018-02-15,17.299999,17.540001,16.709999,17.410000,15.065738,3079066
2018-02-16,17.549999,17.650000,17.469999,17.559999,15.195541,2613299
2018-02-19,17.480000,17.920000,17.420000,17.900000,15.489761,1796077
2018-02-20,17.559999,18.000000,17.559999,17.920000,15.671786,3199437
2018-02-21,17.809999,18.090000,17.809999,18.010000,15.750495,1777988
2018-02-22,18.049999,18.360001,18.010000,18.200001,15.916660,2544463
2018-02-23,18.299999,18.350000,18.025000,18.120001,15.846694,1250445
2018-02-26,18.110001,18.190001,17.760000,17.820000,15.584331,1963808
2018-02-27,17.950001,18.129999,17.860001,18.010000,15.750495,1911529
2018-02-28,17.860001,17.990000,17.815001,17.840000,15.601824,2818616
2018-03-01,17.809999,18.000000,17.790001,17.900000,15.654296,1307374
2018-03-02,17.840000,17.840000,17.379999,17.400000,15.217025,1888024
2018-03-05,17.309999,17.490000,17.245001,17.309999,15.138315,3299121
2018-03-06,17.320000,17.670000,17.320000,17.639999,15.426913,1363631
2018-03-07,17.450001,17.629999,17.370001,17.440001,15.252008,1458009
2018-03-08,17.500000,17.680000,17.490000,17.660000,15.444407,2012552
2018-03-09,17.790001,17.920000,17.700001,17.860001,15.619314,1412053
2018-03-12,18.010000,18.090000,17.920000,17.920000,15.671786,1188891
2018-03-13,17.820000,17.920000,17.719999,17.809999,15.575583,930700
2018-03-14,17.719999,17.770000,17.549999,17.610001,15.400679,1695830
2018-03-15,17.629999,17.750000,17.520000,17.680000,15.461898,1467920
2018-03-16,17.730000,17.910000,17.635000,17.780001,15.549351,1467414
2018-03-19,17.770000,17.850000,17.570000,17.809999,15.575583,1009012
2018-03-20,17.700001,18.010000,17.700001,17.990000,15.733004,1454886
2018-03-21,17.920000,18.190001,17.900000,18.090000,15.820458,809281
2018-03-22,18.000000,18.000000,17.660000,17.730000,15.505624,1026633
2018-03-23,17.320000,17.520000,17.219999,17.290001,15.120823,974101
2018-03-26,17.049999,17.420000,17.000000,17.389999,15.208281,1129328
2018-03-27,17.510000,17.570000,17.405001,17.520000,15.321969,1185574
2018-03-28,17.400000,17.549999,17.320000,17.410000,15.225772,1728789
2018-03-29,17.350000,17.410000,17.215000,17.309999,15.138315,1261994
2018-04-03,16.930000,17.174999,16.910000,17.049999,14.910934,1321728
2018-04-04,16.950001,17.115000,16.879999,17.080000,14.937171,1595388
2018-04-05,17.209999,17.309999,17.090000,17.260000,15.094588,988965
2018-04-06,17.110001,17.230000,17.090000,17.150000,14.998388,711659
2018-04-09,17.059999,17.365000,16.990000,17.309999,15.138315,786057
2018-04-10,17.219999,17.379999,17.170000,17.200001,15.042114,876635
2018-04-11,17.200001,17.270000,17.020000,17.090000,14.945917,868298
2018-04-12,17.020000,17.139999,16.930000,17.100000,14.954662,907864
2018-04-13,17.190001,17.540001,17.160000,17.500000,15.304479,975405
2018-04-16,17.570000,17.645000,17.430000,17.510000,15.313224,1201285
2018-04-17,17.559999,17.799999,17.559999,17.770000,15.540608,1282360
2018-04-18,17.760000,17.830000,17.440001,17.510000,15.313224,1117148
2018-04-19,17.370001,17.420000,17.180000,17.230000,15.068353,1323780
2018-04-20,16.830000,17.040001,16.780001,16.900000,14.779753,1819767
2018-04-23,16.830000,16.950001,16.740000,16.750000,14.648573,913142
2018-04-24,16.870001,16.920000,16.780001,16.860001,14.744774,1288288
2018-04-26,16.980000,17.180000,16.870001,17.100000,14.954662,1354272
2018-04-27,17.290001,17.320000,17.100000,17.190001,15.033373,1989374
2018-04-30,17.230000,17.230000,16.940001,17.000000,14.867208,1345691
2018-05-01,17.049999,17.170000,17.000000,17.030001,14.893445,869602
2018-05-02,17.059999,17.219999,17.059999,17.100000,14.954662,974665
2018-05-03,17.250000,17.530001,17.129999,17.490000,15.295732,1018727
2018-05-04,17.480000,17.730000,17.480000,17.580000,15.374441,780552
2018-05-07,17.730000,17.760000,17.570000,17.620001,15.409423,588581
2018-05-08,17.600000,17.735001,17.510000,17.559999,15.356951,796165
2018-05-09,17.570000,17.870001,17.570000,17.820000,15.584331,1497432
2018-05-10,17.840000,17.900000,17.575001,17.620001,15.409423,1140973
2018-05-11,17.549999,17.680000,17.530001,17.629999,15.418167,626968
2018-05-14,17.670000,17.690001,17.459999,17.530001,15.330715,720115
2018-05-15,17.520000,17.860001,17.510000,17.830000,15.593077,1171888
2018-05-16,18.090000,18.480000,18.010000,18.320000,16.021605,2163803
2018-05-17,18.330000,18.379999,18.070000,18.219999,15.934147,1070741
2018-05-18,18.379999,18.600000,18.320000,18.420000,16.109053,1025002
2018-05-21,18.360001,18.500000,18.135000,18.209999,15.925403,856314
2018-05-22,18.100000,18.270000,17.990000,18.070000,15.802968,1007281
2018-05-23,18.020000,18.139999,17.930000,17.969999,15.715512,1048256
2018-05-24,17.780001,17.969999,17.600000,17.709999,15.488133,1547861
2018-05-25,17.650000,17.690001,17.469999,17.540001,15.339461,1060081
2018-05-28,17.600000,17.790001,17.590000,17.740000,15.514369,779033
2018-05-29,17.670000,17.719999,17.545000,17.590000,15.383190,830301
2018-05-30,17.059999,17.254999,17.020000,17.200001,15.042114,1950553
2018-05-31,17.309999,17.510000,17.219999,17.340000,15.164553,2070782
2018-06-01,17.180000,17.290001,17.090000,17.190001,15.033373,828967
2018-06-04,17.200001,17.400000,17.180000,17.350000,15.173299,690424
2018-06-05,17.250000,17.590000,17.180000,17.500000,15.304479,1303899
2018-06-06,17.500000,17.559999,17.379999,17.540001,15.339461,1529113
2018-06-07,17.520000,17.730000,17.520000,17.700001,15.479387,1084532
2018-06-08,17.610001,17.754999,17.520000,17.660000,15.444407,914673
2018-06-12,17.580000,17.950001,17.520000,17.870001,15.628057,1368806
2018-06-13,17.850000,18.209999,17.770000,17.910000,15.663044,1084315
2018-06-14,18.020000,18.245001,17.860001,17.870001,15.628057,903513
2018-06-15,18.059999,18.290001,18.040001,18.150000,15.872930,2091197
2018-06-18,18.170000,18.200001,17.990000,18.049999,15.785478,843081
2018-06-19,18.120001,18.360001,18.120001,18.270000,15.977878,1235809
2018-06-20,18.469999,18.600000,18.340000,18.540001,16.214005,1169607
2018-06-21,18.760000,18.850000,18.510000,18.750000,16.397657,2051178
2018-06-22,18.670000,18.840000,18.570000,18.680000,16.336437,953707
2018-06-25,18.660000,18.719999,18.559999,18.650000,16.310200,875751
2018-06-26,18.219999,18.620001,18.129999,18.559999,16.231493,944077
2018-06-27,18.450001,18.605000,18.445000,18.510000,16.187763,1532942
2018-06-28,18.450001,18.610001,18.400000,18.510000,16.187763,844815
2018-06-29,18.480000,18.700001,18.410000,18.430000,16.117805,1397288
2018-07-02,18.510000,18.600000,18.370001,18.410000,16.100309,643260
2018-07-03,18.360001,18.584999,18.360001,18.410000,16.100309,751009
2018-07-04,18.450001,18.450001,18.290001,18.370001,16.065331,1546336
2018-07-05,18.360001,18.520000,18.299999,18.360001,16.056583,1348182
2018-07-06,18.160000,18.389999,18.110001,18.230000,15.942892,2068317
2018-07-09,18.139999,18.230000,17.900000,18.020000,15.759242,1793141
2018-07-10,18.000000,18.110001,17.920000,17.930000,15.680533,1262050
2018-07-11,17.940001,18.230000,17.940001,18.129999,15.855439,980803
2018-07-12,18.260000,18.450001,18.129999,18.350000,16.047840,1150168
2018-07-13,18.290001,18.490000,18.120001,18.190001,15.907913,1068356
2018-07-16,18.139999,18.230000,18.040001,18.090000,15.820458,1146742
2018-07-17,18.040001,18.129999,17.920000,17.959999,15.706767,581151
2018-07-18,18.120001,18.270000,18.010000,18.059999,15.794220,785191
2018-07-19,18.070000,18.160000,17.940001,18.040001,15.776733,882661
2018-07-20,18.049999,18.320000,18.049999,18.200001,15.916660,735626
2018-07-23,18.110001,18.190001,17.740000,17.820000,15.584331,841570
2018-07-24,17.830000,18.110001,17.825001,18.000000,15.741751,659482
2018-07-25,17.900000,18.080000,17.840000,18.000000,15.741751,857915
2018-07-26,18.000000,18.139999,17.830000,18.100000,15.829204,989827
2018-07-27,18.290001,18.590000,18.219999,18.350000,16.047840,1366691
2018-07-30,18.219999,18.309999,18.110001,18.299999,16.004108,549987
2018-07-31,18.270000,18.389999,18.190001,18.190001,15.907913,1047830
2018-08-01,18.170000,18.360001,17.969999,18.000000,15.741751,938203
2018-08-02,18.010000,18.400000,18.010000,18.200001,15.916660,980397
2018-08-03,18.330000,18.590000,18.309999,18.540001,16.214005,1025497
2018-08-06,18.520000,18.570000,18.305000,18.389999,16.082817,760772
2018-08-07,18.170000,18.475000,18.170000,18.270000,15.977878,811897
2018-08-08,18.250000,18.540001,18.200001,18.480000,16.161528,764010
2018-08-09,18.490000,18.520000,18.290001,18.320000,16.021605,1002761
2018-08-10,18.280001,18.340000,18.240000,18.270000,15.977878,1208868
2018-08-13,18.150000,18.320000,18.035000,18.100000,15.829204,611275
2018-08-14,18.110001,18.389999,18.100000,18.219999,15.934147,864048
2018-08-15,17.879999,18.980000,17.620001,18.850000,16.485111,1831996
2018-08-16,18.980000,19.850000,18.940001,19.059999,16.668764,2144043
2018-08-17,18.950001,19.240000,18.889999,19.059999,16.668764,1850301
2018-08-20,19.299999,19.450001,19.090000,19.190001,16.782454,1273225
2018-08-21,18.990000,19.275000,18.980000,19.150000,16.930937,1071627
2018-08-22,19.020000,19.100000,18.840000,18.900000,16.709906,2250117
2018-08-23,18.950001,19.070000,18.830000,18.830000,16.648018,975401
2018-08-24,18.940001,19.040001,18.690001,18.690001,16.524239,3035878
2018-08-27,18.680000,18.820000,18.670000,18.740000,16.568443,1741146
2018-08-28,18.820000,19.000000,18.629999,18.950001,16.754110,4343701
2018-08-29,18.950001,19.200001,18.950001,19.000000,16.798317,1553317
2018-08-30,19.120001,19.280001,19.020000,19.200001,16.975145,1380998
2018-08-31,19.209999,19.365000,19.180000,19.219999,16.992821,1448735
2018-09-03,19.260000,19.325001,19.139999,19.150000,16.930937,668383
2018-09-04,18.959999,19.129999,18.850000,19.000000,16.798317,1316829
2018-09-05,19.030001,19.250000,18.879999,18.980000,16.780636,1425892
2018-09-06,18.850000,19.030001,18.650000,18.680000,16.515398,1529501
2018-09-07,18.639999,18.719999,18.309999,18.510000,16.365095,1549686
2018-09-10,18.360001,18.695000,18.360001,18.540001,16.391623,678809
2018-09-11,18.490000,19.129999,18.400000,19.059999,16.851364,1637835
2018-09-12,19.000000,19.400000,19.000000,19.360001,17.116604,1781321
2018-09-13,19.320000,19.490000,19.254999,19.350000,17.107759,1769559
2018-09-14,19.280001,19.605000,19.260000,19.559999,17.293423,1492797
2018-09-17,19.480000,19.670000,19.340000,19.500000,17.240379,1243345
2018-09-18,19.230000,19.400000,19.139999,19.400000,17.151966,1270221
2018-09-19,19.370001,19.680000,19.320000,19.540001,17.275743,3058260
2018-09-20,19.500000,19.709999,19.430000,19.620001,17.346476,2393890
2018-09-21,19.629999,19.940001,19.590000,19.879999,17.576345,2261127
2018-09-24,19.700001,19.940001,19.700001,19.900000,17.594027,3107333
2018-09-25,19.840000,20.030001,19.840000,19.990000,17.673599,1368065
2018-09-26,20.010000,20.150000,19.959999,20.080000,17.753170,2462215
2018-09-27,19.969999,20.090000,19.920000,19.930000,17.620552,1251025
2018-09-28,19.930000,20.299999,19.910000,19.950001,17.638231,2597940
2018-10-01,19.770000,19.990000,19.770000,19.889999,17.585186,443751
2018-10-02,19.969999,20.209999,19.875000,20.090000,17.762009,1566959
2018-10-03,20.000000,20.170000,19.850000,20.070000,17.744326,1430083
2018-10-04,20.150000,20.590000,20.139999,20.400000,18.036087,2696548
2018-10-05,20.250000,20.760000,20.250000,20.709999,18.310162,1596785
2018-10-08,20.580000,20.799999,20.540001,20.620001,18.230597,1233690
2018-10-09,20.430000,20.629999,20.139999,20.260000,17.912312,1635216
2018-10-10,20.110001,20.490000,20.110001,20.330000,17.974199,1363202
2018-10-11,19.950001,20.030001,19.600000,19.650000,17.372993,3668628
2018-10-12,19.299999,19.985001,19.280001,19.920000,17.611710,3349988
2018-10-15,19.620001,19.850000,19.520000,19.610001,17.337631,1245730
2018-10-16,19.639999,19.850000,19.575001,19.670000,17.390678,2031444
2018-10-17,19.799999,20.250000,19.799999,20.209999,17.868103,1159148
2018-10-18,20.110001,20.340000,20.090000,20.219999,17.876947,1592986
2018-10-19,19.760000,19.969999,19.760000,19.860001,17.558661,886564
2018-10-22,19.680000,19.799999,19.500000,19.559999,17.293423,1794100
2018-10-23,19.430000,19.850000,19.430000,19.650000,17.372993,1406137
2018-10-24,19.600000,19.830000,19.540001,19.580000,17.311108,1944003
2018-10-25,19.139999,19.500000,19.125000,19.350000,17.107759,1680508
2018-10-26,19.080000,19.400000,19.080000,19.299999,17.063553,2329162
2018-10-29,19.299999,19.469999,19.299999,19.370001,17.125441,950682
2018-10-30,19.139999,19.639999,19.100000,19.629999,17.355312,1047354
2018-10-31,19.570000,19.815001,19.520000,19.770000,17.479090,1411769
2018-11-01,19.790001,20.059999,19.790001,19.900000,17.594027,2296055
2018-11-02,19.610001,19.900000,19.610001,19.879999,17.576345,1541849
2018-11-05,19.889999,20.120001,19.870001,19.969999,17.655914,1077043
2018-11-06,19.840000,20.209999,19.760000,20.150000,17.815056,1281526
2018-11-07,20.110001,20.180000,19.850000,20.180000,17.841579,1929270
2018-11-08,20.299999,20.549999,20.295000,20.389999,18.027243,1091029
2018-11-09,20.330000,20.520000,20.280001,20.430000,18.062611,934425
2018-11-12,20.430000,20.620001,20.370001,20.520000,18.142185,863608
2018-11-13,20.240000,20.280001,19.790001,19.809999,17.514454,1613272
2018-11-14,20.120001,20.150000,19.520000,19.600000,17.328791,1487016
2018-11-15,19.610001,19.700001,19.459999,19.629999,17.355312,869584
2018-11-16,19.520000,19.740000,19.459999,19.600000,17.328791,742580
2018-11-19,19.309999,19.559999,19.250000,19.290001,17.054712,980353
2018-11-20,19.270000,19.270000,18.850000,18.980000,16.780636,3146036
2018-11-21,18.110001,18.610001,18.059999,18.410000,16.276682,3796894
2018-11-22,18.340000,18.469999,18.250000,18.330000,16.205956,1442384
2018-11-23,18.059999,18.250000,17.959999,17.990000,15.905354,1772718
2018-11-26,17.980000,18.090000,17.629999,17.670000,15.622432,1609374
2018-11-27,17.250000,18.290001,17.170000,18.250000,16.135225,7229794
2018-11-28,18.510000,18.510000,18.170000,18.400000,16.267845,2117820
2018-11-29,18.510000,18.709999,18.370001,18.450001,16.312050,1376307
2018-11-30,18.350000,18.510000,18.150000,18.150000,16.046812,3960781
2018-12-03,18.330000,18.549999,18.330000,18.500000,16.356256,1463585
2018-12-04,18.480000,18.660000,18.225000,18.230000,16.117540,1685648
2018-12-05,17.740000,17.959999,17.299999,17.410000,15.392562,2572068
2018-12-06,17.400000,17.990000,17.340000,17.820000,15.755054,2144660
2018-12-07,17.990000,18.000000,17.275000,17.320000,15.312992,2160252
2018-12-10,16.980000,17.209999,16.610001,16.750000,14.809043,2347049
2018-12-11,16.950001,17.299999,16.860001,17.299999,15.295310,2027331
2018-12-12,17.389999,17.959999,17.230000,17.690001,15.640118,3516737
2018-12-13,17.530001,17.785000,17.490000,17.670000,15.622432,1653307
2018-12-14,17.559999,17.629999,17.264999,17.430000,15.410247,1504164
2018-12-17,17.250000,17.639999,17.209999,17.629999,15.587070,1145184
2018-12-18,17.360001,17.580000,17.100000,17.180000,15.189219,2404147
2018-12-19,17.000000,17.190001,16.945000,17.059999,15.083119,1356957
2018-12-20,16.940001,17.209999,16.740000,16.760000,14.817884,2143150
2018-12-21,16.750000,16.910000,16.350000,16.360001,14.464236,2697050
2018-12-24,16.250000,16.730000,16.250000,16.559999,14.641058,648489
2018-12-27,16.770000,16.934999,16.700001,16.870001,14.915138,1176906
2018-12-28,17.090000,17.090000,16.799999,17.049999,15.074280,826047
2018-12-31,17.059999,17.309999,16.940001,17.190001,15.198057,946587
2019-01-02,17.020000,17.170000,16.879999,17.000000,15.030073,1107260
2019-01-03,16.799999,17.070000,16.770000,17.000000,15.030073,1118478
2019-01-04,16.709999,16.850000,16.370001,16.629999,14.702950,1278908
2019-01-07,16.900000,17.065001,16.830000,16.930000,14.968185,1120855
2019-01-08,16.969999,17.190001,16.879999,17.090000,15.109644,1370774
2019-01-09,17.270000,17.549999,17.190001,17.490000,15.463290,1374275
2019-01-10,17.500000,17.600000,17.160000,17.379999,15.366038,863266
2019-01-11,17.350000,17.469999,17.110001,17.250000,15.251104,993525
2019-01-14,17.219999,17.469999,17.120001,17.400000,15.383723,779762
2019-01-15,17.600000,17.600000,17.200001,17.350000,15.339516,858170
2019-01-16,17.250000,17.730000,17.170000,17.719999,15.666641,1500051
2019-01-17,18.250000,18.820000,17.820000,18.049999,15.958403,1539382
2019-01-18,17.990000,18.299999,17.940001,18.209999,16.099859,1224643
2019-01-21,18.110001,18.209999,17.799999,17.860001,15.790420,860491
2019-01-22,17.780001,18.059999,17.770000,17.850000,15.781576,757328
2019-01-23,17.799999,18.160000,17.770000,17.809999,15.746208,899915
2019-01-24,17.799999,18.110001,17.760000,17.910000,15.834624,947984
2019-01-25,17.889999,18.090000,17.840000,18.010000,15.923037,728442
2019-01-29,17.920000,18.250000,17.520000,17.629999,15.587070,1262384
2019-01-30,17.600000,17.700001,17.490000,17.680000,15.631275,768030
2019-01-31,17.760000,17.959999,17.650000,17.770000,15.710847,2774382
2019-02-01,17.540001,17.950001,17.370001,17.900000,15.825781,1387177
2019-02-04,17.920000,18.010000,17.709999,17.760000,15.702008,2022451
