Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,8.400000,8.480000,8.340000,8.440000,7.608504,1519605
2018-01-03,8.440000,8.470000,8.360000,8.430000,7.599492,1625146
2018-01-04,8.470000,8.490000,8.390000,8.470000,7.635550,2691250
2018-01-05,8.480000,8.490000,8.350000,8.390000,7.563432,3161786
2018-01-08,8.400000,8.450000,8.370000,8.390000,7.563432,2335220
2018-01-09,8.420000,8.510000,8.380000,8.420000,7.590477,3924202
2018-01-10,8.400000,8.400000,8.180000,8.190000,7.383135,4661620
2018-01-11,8.200000,8.240000,8.095000,8.130000,7.329047,3823806
2018-01-12,8.170000,8.190000,8.110000,8.130000,7.329047,1820330
2018-01-15,8.150000,8.170000,8.060000,8.070000,7.274958,1811064
2018-01-16,8.050000,8.130000,8.020000,8.070000,7.274958,3746604
2018-01-17,8.110000,8.160000,8.010000,8.050000,7.256928,5153700
2018-01-18,8.090000,8.130000,8.030000,8.120000,7.320033,4203548
2018-01-19,8.100000,8.125000,8.050000,8.090000,7.292987,2163395
2018-01-22,8.100000,8.130000,7.970000,8.000000,7.211854,2888506
2018-01-23,8.100000,8.155000,8.010000,8.140000,7.338062,2634960
2018-01-24,8.200000,8.230000,8.130000,8.140000,7.338062,4395330
2018-01-25,8.100000,8.150000,8.050000,8.130000,7.329047,2537289
2018-01-29,8.100000,8.130000,7.990000,8.010000,7.220869,3787706
2018-01-30,7.920000,7.930000,7.840000,7.850000,7.076632,4623841
2018-01-31,7.820000,8.090000,7.810000,8.090000,7.292987,10577127
2018-02-01,8.090000,8.150000,8.020000,8.060000,7.265943,5927729
2018-02-02,8.000000,8.020000,7.860000,7.990000,7.202839,4566391
2018-02-05,7.920000,7.940000,7.820000,7.860000,7.085647,5824666
2018-02-06,7.710000,7.870000,7.700000,7.780000,7.013528,8187576
2018-02-07,7.680000,7.835000,7.680000,7.720000,6.959440,6585177
2018-02-08,7.650000,7.790000,7.650000,7.760000,6.995499,3181476
2018-02-09,7.700000,7.770000,7.640000,7.750000,6.986484,3487942
2018-02-12,7.690000,7.710000,7.570000,7.680000,6.923379,3647059
2018-02-13,7.680000,7.820000,7.660000,7.820000,7.049587,8218496
2018-02-14,8.000000,8.085000,7.885000,8.030000,7.238898,6337319
2018-02-15,8.130000,8.250000,8.080000,8.150000,7.347075,11207998
2018-02-16,8.240000,8.240000,8.080000,8.090000,7.292987,3422576
2018-02-19,8.140000,8.280000,8.110000,8.250000,7.437225,3411012
2018-02-20,8.230000,8.290000,8.180000,8.270000,7.455255,3795150
2018-02-21,8.250000,8.290000,8.190000,8.260000,7.446239,3140868
2018-02-22,8.210000,8.260000,8.140000,8.160000,7.356091,4968995
2018-02-23,8.210000,8.250000,8.160000,8.210000,7.401165,2697601
2018-02-26,8.270000,8.300000,8.240000,8.250000,7.437225,4015935
2018-02-27,8.330000,8.395000,8.280000,8.360000,7.536387,4483695
2018-02-28,8.360000,8.360000,8.155000,8.210000,7.401165,7224058
2018-03-01,8.210000,8.300000,8.210000,8.300000,7.482299,4591531
2018-03-02,8.380000,8.380000,8.220000,8.300000,7.482299,3416778
2018-03-05,8.280000,8.395000,8.230000,8.360000,7.536387,4456645
2018-03-06,8.400000,8.460000,8.245000,8.290000,7.473284,4129789
2018-03-07,8.280000,8.360000,8.260000,8.270000,7.455255,3601587
2018-03-08,8.290000,8.405000,8.280000,8.400000,7.572448,2940680
2018-03-09,8.430000,8.510000,8.410000,8.480000,7.644565,2970173
2018-03-12,8.540000,8.560000,8.440000,8.440000,7.608504,2286570
2018-03-13,8.460000,8.530000,8.420000,8.480000,7.644565,3656508
2018-03-14,8.440000,8.470000,8.410000,8.420000,7.590477,3236163
2018-03-15,8.440000,8.450000,8.340000,8.410000,7.581462,5808958
2018-03-16,8.440000,8.510000,8.400000,8.510000,7.671610,5673459
2018-03-19,8.560000,8.580000,8.480000,8.540000,7.698654,2141038
2018-03-20,8.540000,8.550000,8.440000,8.490000,7.653580,1915735
2018-03-21,8.500000,8.530000,8.380000,8.390000,7.563432,3990341
2018-03-22,8.340000,8.400000,8.300000,8.360000,7.536387,4956901
2018-03-23,8.270000,8.340000,8.250000,8.290000,7.473284,4807697
2018-03-26,8.210000,8.390000,8.210000,8.360000,7.536387,4841166
2018-03-27,8.430000,8.440000,8.390000,8.400000,7.572448,3144202
2018-03-28,8.400000,8.490000,8.390000,8.440000,7.608504,2900904
2018-03-29,8.430000,8.540000,8.420000,8.430000,7.599492,3883620
2018-04-03,8.340000,8.395000,8.290000,8.350000,7.527372,3818505
2018-04-04,8.330000,8.440000,8.260000,8.430000,7.599492,8405126
2018-04-05,8.440000,8.580000,8.440000,8.540000,7.698654,3176377
2018-04-06,8.530000,8.590000,8.500000,8.550000,7.707671,2415927
2018-04-09,8.570000,8.640000,8.560000,8.600000,7.752744,2495738
2018-04-10,8.550000,8.620000,8.520000,8.610000,7.761757,2920758
2018-04-11,8.570000,8.610000,8.540000,8.560000,7.716684,4615977
2018-04-12,8.500000,8.550000,8.440000,8.510000,7.671610,4262709
2018-04-13,8.500000,8.590000,8.490000,8.530000,7.689640,1919288
2018-04-16,8.530000,8.590000,8.480000,8.580000,7.734714,2479472
2018-04-17,8.620000,8.730000,8.600000,8.650000,7.797817,4553697
2018-04-18,8.690000,8.750000,8.680000,8.720000,7.860919,2350466
2018-04-19,8.780000,8.780000,8.680000,8.730000,7.869935,3852829
2018-04-20,8.700000,8.760000,8.680000,8.710000,7.851907,2920567
2018-04-23,8.720000,8.780000,8.700000,8.750000,7.887966,3826978
2018-04-24,8.780000,8.895000,8.770000,8.880000,8.005157,5023338
2018-04-26,8.840000,8.940000,8.820000,8.890000,8.014173,3783628
2018-04-27,8.900000,8.960000,8.870000,8.960000,8.077277,3660591
2018-04-30,9.000000,9.100000,8.975000,9.070000,8.176438,4905143
2018-05-01,9.090000,9.190000,9.070000,9.110000,8.212499,2864532
2018-05-02,9.090000,9.230000,9.080000,9.210000,8.302648,3782402
2018-05-03,9.260000,9.320000,9.190000,9.210000,8.302648,5239910
2018-05-04,9.200000,9.220000,9.015000,9.050000,8.158411,5510761
2018-05-07,9.090000,9.170000,9.070000,9.150000,8.248557,2329801
2018-05-08,9.180000,9.230000,9.090000,9.120000,8.221514,4530794
2018-05-09,9.150000,9.220000,9.110000,9.180000,8.275602,3556041
2018-05-10,9.240000,9.240000,9.100000,9.120000,8.221514,2928595
2018-05-11,9.130000,9.170000,9.030000,9.080000,8.185453,4035189
2018-05-14,9.060000,9.080000,8.920000,8.980000,8.095304,5690989
2018-05-15,8.950000,9.040000,8.890000,9.000000,8.113337,4310060
2018-05-16,8.940000,9.055000,8.890000,9.000000,8.113337,4016168
2018-05-17,9.010000,9.020000,8.835000,8.880000,8.005157,3260675
2018-05-18,8.950000,9.005000,8.920000,9.000000,8.113337,2916813
2018-05-21,8.990000,9.015000,8.920000,8.980000,8.095304,2299421
2018-05-22,8.980000,9.080000,8.940000,9.080000,8.185453,3470560
2018-05-23,9.090000,9.340000,9.060000,9.300000,8.383780,5642808
2018-05-24,9.270000,9.390000,9.260000,9.380000,8.455899,3732669
2018-05-25,9.330000,9.360000,9.240000,9.290000,8.374766,4093912
2018-05-28,9.320000,9.380000,9.240000,9.350000,8.428855,3704752
2018-05-29,9.360000,9.370000,9.255000,9.290000,8.374766,4774752
2018-05-30,9.270000,9.330000,9.210000,9.300000,8.383780,7427099
2018-05-31,9.320000,9.340000,9.175000,9.340000,8.419840,18304306
2018-06-01,9.300000,9.390000,9.185000,9.370000,8.446884,3981167
2018-06-04,9.450000,9.690000,9.370000,9.680000,8.726342,7836091
2018-06-05,9.650000,9.650000,9.460000,9.500000,8.564077,5058477
2018-06-06,9.500000,9.500000,9.410000,9.480000,8.546046,5191381
2018-06-07,9.470000,9.550000,9.440000,9.440000,8.509986,3582016
2018-06-08,9.420000,9.490000,9.380000,9.420000,8.491958,4053843
2018-06-12,9.470000,9.550000,9.410000,9.450000,8.519003,5311815
2018-06-13,9.450000,9.510000,9.370000,9.440000,8.509986,4237859
2018-06-14,9.380000,9.520000,9.360000,9.490000,8.555063,2209662
2018-06-15,9.600000,9.725000,9.540000,9.550000,8.609150,8635508
2018-06-18,9.590000,9.810000,9.550000,9.750000,8.789447,4456469
2018-06-19,9.720000,9.780000,9.600000,9.710000,8.753387,3820616
2018-06-20,9.720000,9.830000,9.650000,9.820000,8.852549,3556678
2018-06-21,10.000000,10.000000,9.870000,9.910000,8.933683,7542904
2018-06-22,9.880000,9.900000,9.810000,9.850000,8.879596,3373833
2018-06-25,9.850000,9.900000,9.790000,9.830000,8.861565,3538465
2018-06-26,9.790000,9.910000,9.750000,9.840000,8.870580,4654319
2018-06-27,9.850000,9.870000,9.730000,9.740000,8.780433,4377767
2018-06-28,9.600000,9.700000,9.530000,9.640000,8.819314,6352968
2018-06-29,9.640000,9.770000,9.560000,9.620000,8.801016,6246283
2018-07-02,9.630000,9.760000,9.590000,9.650000,8.828464,2860220
2018-07-03,9.610000,9.710000,9.585000,9.680000,8.855907,4589596
2018-07-04,9.700000,9.740000,9.575000,9.620000,8.801016,4838666
2018-07-05,9.650000,9.650000,9.580000,9.600000,8.782720,4587684
2018-07-06,9.640000,9.680000,9.590000,9.680000,8.855907,4298645
2018-07-09,9.790000,9.875000,9.670000,9.690000,8.865057,2420094
2018-07-10,9.700000,9.700000,9.600000,9.600000,8.782720,1840096
2018-07-11,9.590000,9.630000,9.540000,9.580000,8.764423,2015585
2018-07-12,9.580000,9.790000,9.560000,9.750000,8.919950,4331364
2018-07-13,9.760000,9.850000,9.730000,9.820000,8.983988,4735190
2018-07-16,9.860000,9.870000,9.720000,9.770000,8.938249,2348872
2018-07-17,9.770000,9.790000,9.690000,9.730000,8.901650,2657433
2018-07-18,9.760000,9.830000,9.720000,9.760000,8.929099,2877724
2018-07-19,9.730000,9.730000,9.620000,9.630000,8.810166,7474229
2018-07-20,9.650000,9.725000,9.590000,9.650000,8.828464,7893399
2018-07-23,9.640000,9.650000,9.550000,9.630000,8.810166,3098961
