Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,7.407786,7.438524,7.346311,7.438524,5.980686,2041792
2018-01-03,7.377049,7.407786,7.346311,7.397540,5.947735,1518769
2018-01-04,7.428278,7.428278,7.377049,7.387295,5.939497,2613975
2018-01-05,7.418032,7.433401,7.387295,7.397540,5.947735,1521753
2018-01-08,7.418032,7.418032,7.377049,7.387295,5.939497,2264272
2018-01-09,7.377049,7.412909,7.366803,7.377049,5.931260,3696002
2018-01-10,7.377049,7.423155,7.356557,7.366803,5.923023,3996932
2018-01-11,7.346311,7.371926,7.325819,7.346311,5.906546,3250105
2018-01-12,7.346311,7.387295,7.295081,7.315573,5.881832,2599901
2018-01-15,7.182377,7.336065,7.182377,7.305327,5.873594,3283672
2018-01-16,7.274590,7.325819,7.254098,7.295081,5.865355,2403035
2018-01-17,7.264344,7.315573,7.243852,7.284836,5.857119,5254659
2018-01-18,7.325819,7.356557,7.315573,7.315573,5.881832,3051900
2018-01-19,7.315573,7.346311,7.284836,7.284836,5.857119,4912148
2018-01-22,7.295081,7.315573,7.274590,7.274590,5.848881,3107747
2018-01-23,7.274590,7.356557,7.274590,7.305327,5.873594,3352425
2018-01-24,7.346311,7.377049,7.305327,7.336065,5.898308,3490414
2018-01-25,7.254098,7.336065,7.254098,7.284836,5.857119,3669201
2018-01-29,7.366803,7.464139,7.366803,7.428278,5.972448,4086217
2018-01-30,7.407786,7.459016,7.356557,7.356557,5.914783,4400548
2018-01-31,7.325819,7.428278,7.300204,7.418032,5.964211,5337241
2018-02-01,7.469262,7.581967,7.448770,7.581967,6.096016,7247721
2018-02-02,7.571721,7.617827,7.500000,7.561475,6.079540,2348709
2018-02-05,7.448770,7.551229,7.423155,7.500000,6.030114,3833907
2018-02-06,7.264344,7.387295,7.223360,7.377049,5.931260,8443558
2018-02-07,7.295081,7.387295,7.295081,7.305327,5.873594,6113423
2018-02-08,7.233606,7.407786,7.233606,7.377049,5.931260,4008475
2018-02-09,7.223360,7.377049,7.223360,7.366803,5.923023,19194737
2018-02-12,7.366803,7.397540,7.315573,7.356557,5.914783,3068559
2018-02-13,7.377049,7.530737,7.377049,7.448770,5.988925,5693863
2018-02-14,7.817622,8.084016,7.576844,7.684426,6.178396,14704154
2018-02-15,7.889344,8.084016,7.807377,7.940573,6.384342,13364257
2018-02-16,7.971311,8.043032,7.879098,7.889344,6.343153,4170616
2018-02-19,7.879098,8.032786,7.848360,8.002049,6.433770,4440372
2018-02-20,7.807377,7.940573,7.786885,7.920081,6.484099,11993085
2018-02-21,7.940573,8.078893,7.940573,8.053278,6.593145,6770028
2018-02-22,8.053278,8.237704,8.053278,8.176229,6.693802,16058256
2018-02-23,8.340163,8.340163,8.135245,8.186475,6.702193,7785196
2018-02-26,8.247950,8.299180,8.206967,8.299180,6.794463,4796857
2018-02-27,8.391393,8.452868,8.350409,8.350409,6.836404,5770818
2018-02-28,8.309426,8.442622,8.309426,8.401639,6.878345,6911859
2018-03-01,8.381147,8.381147,8.299180,8.350409,6.836404,4454317
2018-03-02,8.329918,8.329918,8.145491,8.217213,6.727358,4478775
2018-03-05,8.217213,8.237704,8.186475,8.186475,6.702193,2682559
2018-03-06,8.247950,8.411885,8.237704,8.370901,6.853181,4849308
2018-03-07,8.268442,8.309426,8.201844,8.206967,6.718970,5465726
2018-03-08,8.227459,8.247950,8.135245,8.186475,6.702193,6100349
