Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.860000,4.890000,4.745000,4.820000,4.474671,2206405
2018-01-03,4.850000,5.065000,4.850000,4.980000,4.623208,3752042
2018-01-04,5.040000,5.040000,4.745000,4.840000,4.493239,4903722
2018-01-05,4.930000,5.030000,4.910000,4.910000,4.558223,2037193
2018-01-08,4.910000,5.010000,4.905000,4.910000,4.558223,1753752
2018-01-09,4.910000,5.020000,4.910000,4.990000,4.632492,2721509
2018-01-10,4.980000,5.010000,4.830000,4.840000,4.493239,2076649
2018-01-11,4.810000,4.880000,4.780000,4.800000,4.456104,1604441
2018-01-12,4.780000,4.990000,4.780000,4.950000,4.595357,1646106
2018-01-15,5.010000,5.080000,4.940000,4.990000,4.632492,2224318
2018-01-16,4.930000,5.180000,4.910000,5.070000,4.706760,4405106
2018-01-17,4.990000,5.020000,4.900000,4.910000,4.558223,2825941
2018-01-18,5.000000,5.050000,4.840000,4.860000,4.511806,2935771
2018-01-19,4.860000,4.940000,4.760000,4.780000,4.437538,3442864
2018-01-22,4.780000,4.900000,4.770000,4.870000,4.521089,1469144
2018-01-23,4.860000,4.990000,4.860000,4.970000,4.613924,2213439
2018-01-24,4.970000,5.015000,4.900000,5.010000,4.651059,2078491
2018-01-25,5.140000,5.205000,5.110000,5.130000,4.762462,3154881
2018-01-29,5.120000,5.230000,5.095000,5.200000,4.827446,2103083
2018-01-30,5.120000,5.180000,5.005000,5.070000,4.706760,2923549
2018-01-31,4.950000,5.100000,4.910000,5.030000,4.669626,3579744
2018-02-01,5.040000,5.115000,4.990000,4.990000,4.632492,2983317
2018-02-02,5.030000,5.070000,4.900000,4.910000,4.558223,1878148
2018-02-05,4.750000,4.780000,4.610000,4.660000,4.326135,3663506
2018-02-06,4.500000,4.620000,4.490000,4.530000,4.205448,4761651
2018-02-07,4.610000,4.750000,4.610000,4.750000,4.409686,3997948
2018-02-08,4.620000,4.700000,4.615000,4.660000,4.326135,2168219
2018-02-09,4.470000,4.660000,4.460000,4.570000,4.242582,3386925
2018-02-12,4.500000,4.600000,4.480000,4.540000,4.214732,2244064
2018-02-13,4.600000,4.780000,4.600000,4.750000,4.409686,1968973
2018-02-14,4.750000,4.800000,4.690000,4.770000,4.428254,1568245
2018-02-15,4.960000,4.990000,4.870000,4.980000,4.623208,2339170
2018-02-16,5.010000,5.070000,4.960000,5.000000,4.641775,1805282
2018-02-19,4.910000,4.985000,4.880000,4.900000,4.548940,1720079
2018-02-20,4.800000,4.880000,4.800000,4.860000,4.511806,1581486
2018-02-21,4.790000,4.860000,4.770000,4.800000,4.456104,1226237
2018-02-22,4.780000,5.050000,4.780000,4.930000,4.576790,1833988
2018-02-23,5.000000,5.070000,4.990000,5.050000,4.688194,1535753
2018-02-26,5.080000,5.160000,5.080000,5.130000,4.762462,2295396
2018-02-27,5.170000,5.230000,5.170000,5.210000,4.836730,2529333
2018-02-28,5.170000,5.190000,5.060000,5.070000,4.706760,2036762
2018-03-01,5.060000,5.110000,4.870000,4.930000,4.576790,3097971
2018-03-02,4.890000,5.010000,4.840000,4.930000,4.576790,1798646
2018-03-05,4.930000,4.990000,4.870000,4.930000,4.576790,1051138
2018-03-06,4.980000,5.020000,4.930000,4.970000,4.613924,1788521
2018-03-07,5.010000,5.090000,4.980000,5.010000,4.651059,2783063
2018-03-08,5.050000,5.060000,4.990000,5.050000,4.688194,3069704
2018-03-09,5.000000,5.060000,4.810000,4.840000,4.493239,2451946
2018-03-12,4.900000,4.930000,4.575000,4.700000,4.372210,14200027
2018-03-13,4.620000,4.760000,4.620000,4.700000,4.372210,7641368
2018-03-14,4.650000,4.790000,4.550000,4.670000,4.344302,9482725
2018-03-15,4.670000,4.760000,4.630000,4.710000,4.381513,6885803
2018-03-16,4.710000,4.830000,4.700000,4.790000,4.455934,31330895
2018-03-19,4.730000,4.880000,4.720000,4.870000,4.530354,2856966
2018-03-20,4.870000,4.920000,4.790000,4.810000,4.474537,2572102
2018-03-21,4.790000,4.860000,4.740000,4.750000,4.418723,1606474
2018-03-22,4.760000,4.870000,4.760000,4.860000,4.521051,1884138
2018-03-23,4.750000,4.750000,4.620000,4.660000,4.335000,2964699
2018-03-26,4.590000,4.665000,4.570000,4.610000,4.288487,2577998
2018-03-27,4.680000,4.905000,4.670000,4.860000,4.521051,3516611
2018-03-28,4.800000,4.830000,4.710000,4.730000,4.400118,2634379
2018-03-29,4.720000,4.770000,4.580000,4.600000,4.279184,2494005
2018-04-03,4.570000,4.820000,4.565000,4.810000,4.474537,3175679
2018-04-04,4.830000,4.960000,4.790000,4.920000,4.576866,3140834
2018-04-05,4.890000,4.990000,4.880000,4.900000,4.558261,2799959
2018-04-06,4.840000,5.000000,4.840000,4.990000,4.641984,3126661
2018-04-09,4.980000,4.980000,4.850000,4.930000,4.586169,1980729
2018-04-10,4.900000,5.035000,4.900000,4.950000,4.604774,5922856
2018-04-11,4.960000,5.090000,4.940000,5.060000,4.707102,3281724
2018-04-12,5.080000,5.200000,5.020000,5.090000,4.735011,4946391
2018-04-13,5.070000,5.100000,4.980000,5.010000,4.660590,3027867
2018-04-16,5.000000,5.110000,5.000000,5.080000,4.725708,2468469
2018-04-17,5.070000,5.225000,5.070000,5.170000,4.809431,5761036
2018-04-18,5.160000,5.275000,5.140000,5.200000,4.837338,3678498
2018-04-19,5.600000,5.735000,5.490000,5.600000,5.209442,12104353
2018-04-20,5.430000,5.470000,5.340000,5.340000,4.967575,4448541
2018-04-23,5.390000,5.510000,5.350000,5.350000,4.976877,2214046
2018-04-24,5.260000,5.300000,5.200000,5.230000,4.865246,2402436
2018-04-26,5.190000,5.310000,5.165000,5.250000,4.883852,6876910
2018-04-27,5.340000,5.340000,5.230000,5.240000,4.874548,2068572
2018-04-30,5.240000,5.285000,5.130000,5.170000,4.809431,2882476
2018-05-01,4.780000,4.940000,4.780000,4.920000,4.576866,5421410
2018-05-02,4.890000,5.000000,4.840000,4.900000,4.558261,4438578
2018-05-03,4.940000,5.130000,4.905000,5.110000,4.753615,3052999
2018-05-04,5.070000,5.190000,5.050000,5.060000,4.707102,3836231
2018-05-07,5.130000,5.250000,5.050000,5.070000,4.716406,2088071
2018-05-08,5.150000,5.160000,5.010000,5.030000,4.679195,1631369
2018-05-09,4.940000,5.050000,4.900000,4.980000,4.632682,2253296
2018-05-10,5.020000,5.080000,4.930000,4.980000,4.632682,2179634
2018-05-11,4.970000,5.065000,4.940000,4.970000,4.623379,1754651
2018-05-14,5.010000,5.080000,4.880000,4.890000,4.548959,3131613
2018-05-15,4.970000,5.130000,4.930000,4.940000,4.595472,3624964
2018-05-16,4.940000,5.000000,4.800000,4.860000,4.521051,3026720
2018-05-17,4.900000,4.965000,4.860000,4.940000,4.595472,1677909
2018-05-18,5.010000,5.010000,4.825000,4.850000,4.511748,2846931
2018-05-21,4.810000,4.900000,4.800000,4.860000,4.521051,2131863
2018-05-22,4.850000,4.930000,4.840000,4.850000,4.511748,2029664
2018-05-23,4.840000,4.920000,4.680000,4.720000,4.390815,2612929
2018-05-24,4.680000,4.730000,4.640000,4.670000,4.344302,1475982
2018-05-25,4.700000,4.810000,4.690000,4.710000,4.381513,3440051
2018-05-28,4.690000,4.715000,4.640000,4.700000,4.372210,1823776
2018-05-29,4.730000,4.770000,4.630000,4.660000,4.335000,2954699
