Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,6.150000,6.220000,6.130000,6.210000,5.646497,1658728
2018-01-03,6.230000,6.300000,6.220000,6.250000,5.682868,1922928
2018-01-04,6.290000,6.300000,6.040000,6.120000,5.564665,2955951
2018-01-05,6.130000,6.230000,6.050000,6.050000,5.501017,2326355
2018-01-08,6.070000,6.160000,6.050000,6.150000,5.591942,1751966
2018-01-09,6.120000,6.130000,5.970000,6.020000,5.473739,2614227
2018-01-10,5.940000,5.980000,5.840000,5.840000,5.310072,2947988
2018-01-11,5.840000,5.950000,5.770000,5.830000,5.300979,3047340
2018-01-12,5.880000,5.990000,5.850000,5.960000,5.419183,2538845
2018-01-15,6.060000,6.235000,6.040000,6.230000,5.664683,2952545
2018-01-16,6.190000,6.210000,6.130000,6.180000,5.619221,2014717
2018-01-17,6.180000,6.230000,6.120000,6.130000,5.573758,2708869
2018-01-18,6.150000,6.170000,6.000000,6.050000,5.501017,2013552
2018-01-19,6.050000,6.055000,5.870000,5.960000,5.419183,2965430
2018-01-22,5.980000,6.060000,5.980000,6.030000,5.482831,1401461
2018-01-23,6.000000,6.040000,5.950000,6.030000,5.482831,1383791
2018-01-24,6.070000,6.150000,5.980000,6.140000,5.582850,3202138
2018-01-25,6.250000,6.300000,6.200000,6.260000,5.691960,2083079
2018-01-29,6.120000,6.120000,5.865000,5.890000,5.355535,4301235
2018-01-30,5.820000,5.820000,5.710000,5.740000,5.219146,2962285
2018-01-31,5.700000,5.810000,5.605000,5.790000,5.264609,3448001
2018-02-01,5.790000,5.815000,5.705000,5.750000,5.228239,2951581
2018-02-02,5.790000,5.940000,5.770000,5.910000,5.373721,2858258
2018-02-05,5.770000,5.860000,5.700000,5.790000,5.264609,4951632
2018-02-06,5.720000,5.885000,5.680000,5.790000,5.264609,5416004
2018-02-07,5.800000,5.840000,5.650000,5.680000,5.164591,3788777
2018-02-08,5.600000,5.770000,5.570000,5.710000,5.191869,3321683
2018-02-09,5.770000,5.840000,5.750000,5.820000,5.291887,4419365
2018-02-12,5.760000,5.830000,5.680000,5.780000,5.255517,3059468
2018-02-13,5.810000,6.000000,5.810000,5.970000,5.428276,4942946
2018-02-14,6.000000,6.045000,5.970000,6.010000,5.464646,4668967
2018-02-15,6.150000,6.180000,6.040000,6.120000,5.564665,2935595
2018-02-16,6.100000,6.110000,5.980000,6.110000,5.555572,2345641
2018-02-19,6.090000,6.180000,6.040000,6.100000,5.546479,1706491
2018-02-20,6.080000,6.130000,5.980000,6.100000,5.546479,1916321
2018-02-21,5.980000,6.120000,5.980000,6.020000,5.473739,1745989
2018-02-22,6.050000,6.160000,6.050000,6.070000,5.519202,2681094
2018-02-23,6.100000,6.190000,6.080000,6.190000,5.628313,3156522
2018-02-26,6.230000,6.390000,6.230000,6.390000,5.810165,3530956
2018-02-27,6.400000,6.430000,6.325000,6.420000,5.837442,2713673
2018-02-28,6.340000,6.345000,6.220000,6.290000,5.719239,3896596
2018-03-01,6.330000,6.470000,6.325000,6.360000,5.782887,3030331
2018-03-02,6.330000,6.450000,6.330000,6.400000,5.819257,2709402
2018-03-05,6.360000,6.400000,6.290000,6.400000,5.819257,2269577
2018-03-06,6.410000,6.530000,6.400000,6.530000,5.937461,2365348
2018-03-07,6.610000,6.655000,6.565000,6.630000,6.028387,2363034
2018-03-08,6.590000,6.740000,6.560000,6.720000,6.110220,3109263
2018-03-09,6.730000,6.730000,6.485000,6.550000,5.955646,3384542
2018-03-12,6.510000,6.595000,6.450000,6.560000,5.964739,1672681
2018-03-13,6.510000,6.610000,6.505000,6.580000,5.982924,2957407
2018-03-14,6.590000,6.630000,6.530000,6.590000,5.992017,2054819
2018-03-15,6.590000,6.640000,6.560000,6.580000,5.982924,2806458
2018-03-16,6.580000,6.650000,6.560000,6.570000,5.973831,5386158
2018-03-19,6.600000,6.630000,6.530000,6.610000,6.010201,2192283
2018-03-20,6.640000,6.800000,6.620000,6.700000,6.092035,2769163
2018-03-21,6.690000,6.740000,6.655000,6.700000,6.092035,1341470
2018-03-22,6.750000,6.790000,6.680000,6.710000,6.101128,2090857
2018-03-23,6.670000,6.780000,6.650000,6.780000,6.164776,2595387
