Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10.680000,10.760000,10.670000,10.740000,9.276129,1525599
2018-01-03,10.780000,10.800000,10.690000,10.720000,9.258854,1612390
2018-01-04,10.800000,10.800000,10.680000,10.700000,9.241582,1809278
2018-01-05,10.710000,10.775000,10.690000,10.760000,9.293404,2059735
2018-01-08,10.760000,10.800000,10.720000,10.730000,9.267490,3662398
2018-01-09,10.710000,10.710000,10.500000,10.540000,9.103388,5846056
2018-01-10,10.600000,10.670000,10.510000,10.570000,9.129299,3327411
2018-01-11,10.590000,10.620000,10.520000,10.590000,9.146573,3599272
2018-01-12,10.640000,10.660000,10.490000,10.500000,9.068839,3302264
2018-01-15,10.530000,10.640000,10.520000,10.550000,9.112024,2591183
2018-01-16,10.540000,10.620000,10.500000,10.510000,9.077477,2438296
2018-01-17,10.500000,10.520000,10.410000,10.440000,9.017017,4550683
2018-01-18,10.460000,10.520000,10.430000,10.470000,9.042929,2455509
2018-01-19,10.520000,10.560000,10.410000,10.440000,9.017017,2539619
2018-01-22,10.530000,10.570000,10.485000,10.490000,9.060203,3566838
2018-01-23,9.990000,10.640000,9.860000,10.430000,9.008381,18039117
2018-01-24,10.690000,11.065000,10.690000,10.990000,9.492053,16796954
2018-01-25,10.950000,11.050000,10.880000,10.940000,9.448867,6437764
2018-01-29,10.960000,11.000000,10.840000,10.960000,9.466141,3822585
2018-01-30,10.910000,10.970000,10.725000,10.870000,9.388410,4590956
2018-01-31,10.800000,10.850000,10.690000,10.780000,9.310677,4268162
2018-02-01,10.800000,10.865000,10.740000,10.780000,9.310677,2622720
2018-02-02,10.780000,10.840000,10.730000,10.810000,9.336588,2069104
2018-02-05,10.700000,10.800000,10.610000,10.710000,9.250216,3781279
2018-02-06,10.410000,10.590000,10.210000,10.310000,8.904737,8575291
2018-02-07,10.420000,10.500000,10.380000,10.410000,8.991108,4915942
2018-02-08,10.350000,10.560000,10.350000,10.520000,9.086115,4100386
2018-02-09,10.300000,10.430000,10.230000,10.430000,9.008381,5121073
2018-02-12,10.370000,10.400000,10.280000,10.330000,8.922011,2957365
2018-02-13,10.400000,10.515000,10.310000,10.480000,9.051566,4144181
2018-02-14,10.430000,10.520000,10.360000,10.400000,8.982470,3504597
2018-02-15,10.510000,10.520000,10.440000,10.500000,9.068839,2969132
2018-02-16,10.480000,10.580000,10.450000,10.460000,9.034293,3824919
2018-02-19,10.420000,10.480000,10.350000,10.450000,9.025655,3886321
2018-02-20,10.440000,10.580000,10.370000,10.530000,9.094752,3075855
2018-02-21,10.490000,10.620000,10.470000,10.560000,9.120662,2885526
2018-02-22,10.600000,10.750000,10.550000,10.730000,9.267490,7009502
2018-02-23,10.750000,10.800000,10.580000,10.730000,9.267490,6525651
2018-02-26,10.600000,10.910000,10.210000,10.380000,8.965196,11046379
2018-02-27,10.560000,10.640000,10.350000,10.380000,8.965196,10282686
2018-02-28,10.320000,10.350000,10.080000,10.190000,8.801093,8543936
2018-03-01,10.100000,10.215000,10.030000,10.200000,8.809729,4362735
2018-03-02,10.110000,10.140000,9.980000,10.120000,8.740636,3855447
2018-03-05,10.090000,10.100000,9.780000,9.850000,8.507435,7565027
2018-03-06,10.040000,10.080000,9.870000,9.900000,8.550620,4743819
2018-03-07,9.860000,9.880000,9.750000,9.830000,8.490161,4664447
2018-03-08,9.820000,9.930000,9.790000,9.860000,8.550867,4241908
2018-03-09,9.860000,9.980000,9.810000,9.950000,8.628918,4457490
2018-03-12,10.020000,10.080000,9.920000,9.980000,8.654933,4017921
2018-03-13,10.000000,10.170000,9.940000,10.110000,8.767673,5974430
2018-03-14,10.060000,10.100000,9.910000,10.000000,8.672280,3970840
2018-03-15,9.900000,10.010000,9.870000,9.990000,8.663609,5384305
2018-03-16,10.000000,10.000000,9.770000,9.770000,8.472816,11127483
2018-03-19,9.890000,9.890000,9.750000,9.750000,8.455472,4104412
2018-03-20,9.780000,9.830000,9.740000,9.750000,8.455472,3735377
2018-03-21,9.820000,9.830000,9.590000,9.650000,8.368750,7284239
2018-03-22,9.610000,9.960000,9.600000,9.900000,8.585556,6574958
2018-03-23,9.750000,9.840000,9.720000,9.790000,8.490161,5440668
2018-03-26,9.690000,9.715000,9.570000,9.660000,8.377420,5882033
2018-03-27,9.710000,9.750000,9.550000,9.630000,8.351404,5562500
2018-03-28,9.560000,9.680000,9.520000,9.640000,8.360079,3253177
2018-03-29,9.640000,9.820000,9.610000,9.630000,8.351404,8123487
2018-04-03,9.560000,9.620000,9.475000,9.530000,8.264681,3738509
2018-04-04,9.500000,9.610000,9.500000,9.600000,8.325389,5586645
2018-04-05,9.620000,9.690000,9.590000,9.650000,8.368750,4399571
2018-04-06,9.660000,9.700000,9.430000,9.490000,8.229993,6184104
2018-04-09,9.510000,9.520000,9.415000,9.490000,8.229993,3127631
2018-04-10,9.460000,9.580000,9.410000,9.560000,8.290700,3884202
2018-04-11,9.550000,9.680000,9.530000,9.580000,8.308043,3540720
2018-04-12,9.510000,9.735000,9.460000,9.700000,8.412110,4825280
2018-04-13,9.740000,9.840000,9.710000,9.770000,8.472816,3792649
2018-04-16,9.770000,9.770000,9.670000,9.740000,8.446800,2759120
2018-04-17,9.730000,9.840000,9.700000,9.780000,8.481489,4058302
2018-04-18,9.820000,9.960000,9.730000,9.870000,8.559539,4202074
2018-04-19,10.000000,10.010000,9.855000,9.860000,8.550867,5133390
2018-04-20,9.900000,9.985000,9.830000,9.890000,8.576883,2848686
2018-04-23,9.930000,10.030000,9.880000,9.930000,8.611573,2981757
2018-04-24,9.990000,10.170000,9.950000,10.110000,8.767673,4783522
2018-04-26,10.160000,10.180000,9.930000,10.000000,8.672280,6056289
2018-04-27,10.020000,10.150000,9.930000,10.000000,8.672280,4759727
2018-04-30,10.070000,10.070000,9.845000,9.960000,8.637591,4696918
2018-05-01,9.920000,9.950000,9.790000,9.900000,8.585556,4977062
2018-05-02,9.990000,10.180000,9.970000,10.170000,8.819710,7822122
2018-05-03,10.290000,10.410000,10.165000,10.330000,8.958465,6005405
2018-05-04,10.310000,10.370000,10.190000,10.240000,8.880414,3294123
2018-05-07,10.340000,10.340000,10.155000,10.200000,8.845723,3385753
2018-05-08,10.270000,10.270000,10.120000,10.160000,8.811034,3000279
2018-05-09,10.200000,10.275000,10.110000,10.200000,8.845723,3509012
2018-05-10,10.240000,10.280000,10.120000,10.140000,8.793691,2724900
2018-05-11,10.140000,10.250000,10.105000,10.210000,8.854397,3226315
2018-05-14,10.290000,10.320000,10.255000,10.310000,8.941120,4672458
2018-05-15,10.320000,10.360000,10.270000,10.290000,8.923774,3294912
2018-05-16,10.340000,10.450000,10.310000,10.410000,9.027843,3358389
2018-05-17,10.420000,10.450000,10.300000,10.420000,9.036516,3691617
2018-05-18,10.450000,10.495000,10.380000,10.460000,9.071205,3598392
2018-05-21,10.400000,10.410000,10.310000,10.390000,9.010500,4170306
2018-05-22,10.340000,10.350000,10.125000,10.140000,8.793691,3619880
2018-05-23,10.210000,10.230000,9.990000,10.010000,8.680951,4415369
2018-05-24,9.920000,10.000000,9.830000,9.860000,8.550867,4647279
2018-05-25,9.830000,9.845000,9.730000,9.760000,8.464145,4889173
2018-05-28,9.760000,9.800000,9.650000,9.660000,8.377420,3126526
2018-05-29,9.650000,9.695000,9.620000,9.630000,8.351404,3097977
2018-05-30,9.470000,9.600000,9.360000,9.510000,8.247338,6470581
2018-05-31,9.580000,9.645000,9.480000,9.480000,8.221319,7170135
2018-06-01,9.440000,9.460000,9.380000,9.400000,8.151943,3035313
2018-06-04,9.490000,9.500000,9.420000,9.460000,8.203976,2469824
2018-06-05,9.430000,9.535000,9.410000,9.450000,8.195303,3875631
2018-06-06,9.480000,9.490000,9.390000,9.420000,8.169288,4864666
2018-06-07,9.420000,9.525000,9.380000,9.410000,8.160613,5085222
2018-06-08,9.420000,9.440000,9.330000,9.330000,8.091238,4878061
2018-06-12,9.360000,9.390000,9.320000,9.340000,8.099910,4750269
2018-06-13,9.370000,9.405000,9.280000,9.310000,8.073892,3313282
2018-06-14,9.280000,9.340000,9.280000,9.300000,8.065220,4655938
2018-06-15,9.340000,9.420000,9.300000,9.380000,8.134600,7806276
2018-06-18,9.430000,9.520000,9.380000,9.430000,8.177959,4238662
2018-06-19,9.470000,9.550000,9.410000,9.490000,8.229993,5571273
2018-06-20,9.590000,9.770000,9.560000,9.700000,8.412110,8806162
2018-06-21,9.800000,9.800000,9.640000,9.680000,8.394767,6540551
2018-06-22,9.670000,9.750000,9.610000,9.640000,8.360079,4639370
2018-06-25,9.630000,9.690000,9.550000,9.580000,8.308043,5502413
2018-06-26,9.550000,9.640000,9.500000,9.620000,8.342732,2773266
2018-06-27,9.610000,9.680000,9.505000,9.550000,8.282026,5008417
2018-06-28,9.560000,9.850000,9.560000,9.810000,8.507505,10595301
2018-06-29,9.850000,9.850000,9.730000,9.740000,8.446800,6933061
2018-07-02,9.810000,9.850000,9.730000,9.770000,8.472816,2038322
2018-07-03,9.820000,9.950000,9.680000,9.910000,8.594229,3435911
2018-07-04,9.860000,9.860000,9.710000,9.790000,8.490161,3599606
2018-07-05,9.860000,9.860000,9.740000,9.780000,8.481489,3777638
2018-07-06,9.790000,9.830000,9.740000,9.800000,8.498834,2608656
2018-07-09,9.820000,9.830000,9.740000,9.800000,8.498834,2740474
2018-07-10,9.850000,9.960000,9.770000,9.770000,8.472816,2871186
2018-07-11,9.760000,9.830000,9.730000,9.790000,8.490161,2737084
2018-07-12,9.790000,9.840000,9.750000,9.780000,8.481489,2836099
2018-07-13,9.780000,9.870000,9.760000,9.790000,8.490161,3377998
2018-07-16,9.810000,9.880000,9.660000,9.850000,8.542194,2683118
2018-07-17,9.840000,9.880000,9.790000,9.820000,8.516178,1875839
2018-07-18,9.870000,9.970000,9.790000,9.840000,8.533523,3085474
2018-07-19,9.890000,9.900000,9.820000,9.850000,8.542194,3323379
2018-07-20,9.970000,9.990000,9.880000,9.890000,8.576883,3546112
2018-07-23,9.900000,9.920000,9.830000,9.870000,8.559539,1858106
2018-07-24,9.940000,10.080000,9.920000,10.040000,8.706968,4652825
2018-07-25,10.130000,10.160000,9.990000,10.010000,8.680951,2650073
2018-07-26,10.000000,10.070000,9.970000,10.020000,8.689624,3250190
2018-07-27,10.100000,10.190000,10.080000,10.110000,8.767673,3266710
2018-07-30,10.090000,10.140000,10.060000,10.120000,8.776348,1575704
2018-07-31,10.150000,10.240000,10.080000,10.100000,8.759003,3714930
2018-08-01,10.090000,10.335000,10.070000,10.230000,8.871741,3519917
2018-08-02,10.260000,10.380000,10.205000,10.340000,8.967138,5208779
2018-08-03,10.400000,10.420000,10.255000,10.340000,8.967138,4934736
2018-08-06,10.360000,10.370000,10.240000,10.330000,8.958465,2777403
2018-08-07,10.300000,10.300000,10.120000,10.150000,8.802363,5113024
2018-08-08,10.060000,10.195000,10.050000,10.170000,8.819710,3396324
2018-08-09,10.210000,10.345000,10.170000,10.270000,8.906430,4329576
2018-08-10,10.330000,10.340000,10.230000,10.280000,8.915103,2893215
2018-08-13,10.250000,10.290000,10.180000,10.240000,8.880414,3280625
2018-08-14,10.280000,10.310000,10.210000,10.230000,8.871741,2153245
2018-08-15,10.180000,10.290000,10.150000,10.200000,8.845723,3611199
2018-08-16,10.800000,11.100000,10.450000,10.890000,9.444113,23284506
2018-08-17,10.990000,11.160000,10.840000,11.100000,9.626231,10881629
2018-08-20,11.100000,11.130000,10.960000,11.010000,9.548181,7255207
2018-08-21,11.020000,11.060000,10.860000,10.900000,9.452783,12655094
2018-08-22,10.900000,10.920000,10.750000,10.820000,9.383406,6679079
2018-08-23,10.700000,10.770000,10.510000,10.750000,9.516190,8878644
2018-08-24,10.790000,10.880000,10.735000,10.770000,9.533895,3622335
2018-08-27,10.790000,10.820000,10.720000,10.790000,9.551599,4332301
2018-08-28,10.820000,11.020000,10.795000,11.000000,9.737496,4607830
2018-08-29,11.000000,11.190000,10.940000,11.160000,9.879134,8251277
2018-08-30,11.140000,11.145000,10.990000,11.100000,9.826020,5083726
2018-08-31,11.100000,11.115000,10.970000,11.010000,9.746349,4846815
