Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,70.000000,70.120003,69.010002,69.320000,62.608681,206601
2018-01-03,69.370003,69.610001,69.010002,69.440002,62.717068,186255
2018-01-04,69.989998,70.620003,69.690002,70.599998,63.764759,340886
2018-01-05,70.769997,71.150002,70.519997,70.599998,63.764759,233688
2018-01-08,70.870003,70.980003,70.389999,70.430000,63.611229,222517
2018-01-09,70.610001,70.879997,70.449997,70.500000,63.674458,176936
2018-01-10,70.599998,70.980003,70.160004,70.220001,63.421551,272326
2018-01-11,70.000000,70.169998,68.910004,68.910004,62.238388,348435
2018-01-12,68.930000,69.349998,68.910004,69.000000,62.319675,182899
2018-01-15,69.000000,69.250000,68.320000,68.510002,61.877110,290211
2018-01-16,68.870003,68.989998,68.230003,68.550003,61.913235,240770
2018-01-17,69.029999,69.800003,68.699997,69.120003,62.428047,270327
2018-01-18,69.120003,69.230003,68.000000,68.000000,61.416489,313391
2018-01-19,68.019997,68.459999,67.849998,67.919998,61.344227,342734
2018-01-22,67.919998,68.570000,67.639999,67.739998,61.181664,261084
2018-01-23,68.120003,68.839996,67.800003,68.589996,61.949356,322001
2018-01-24,68.739998,69.370003,68.669998,69.230003,62.527416,223697
2018-01-25,69.330002,69.379997,68.910004,69.029999,62.346771,192248
2018-01-29,68.550003,69.190002,68.199997,68.839996,62.175159,327510
2018-01-30,68.839996,69.529999,68.500000,68.559998,61.922272,273761
2018-01-31,68.250000,68.629997,67.709999,68.349998,61.732597,461011
2018-02-01,68.320000,68.660004,67.910004,67.980003,61.398415,554527
2018-02-02,68.190002,68.959999,68.129997,68.809998,62.148067,287365
2018-02-05,68.000000,68.730003,67.940002,68.330002,61.714539,734283
2018-02-06,67.000000,67.160004,65.019997,65.269997,58.950798,730067
2018-02-07,65.589996,66.699997,65.550003,66.120003,59.718502,609193
2018-02-08,65.900002,67.050003,65.860001,66.970001,60.486210,318922
2018-02-09,65.830002,66.639999,65.519997,66.400002,59.971397,613450
2018-02-12,66.010002,66.669998,65.690002,65.790001,59.420448,390484
2018-02-13,65.900002,67.379997,65.580002,67.019997,60.531368,448725
2018-02-14,67.300003,67.510002,66.260002,66.430000,59.998489,428677
2018-02-15,66.570000,66.570000,65.360001,66.349998,59.926235,595254
2018-02-16,65.879997,67.800003,65.779999,66.629997,60.179123,366432
2018-02-19,66.500000,68.599998,66.430000,68.370003,61.750668,277951
2018-02-20,68.199997,69.050003,67.809998,68.690002,62.039677,274310
2018-02-21,68.400002,69.370003,68.110001,68.949997,62.274513,404942
2018-02-22,68.800003,68.870003,67.610001,68.080002,61.488747,597113
2018-02-23,68.360001,68.629997,67.629997,68.070000,61.479713,349220
2018-02-26,68.050003,68.709999,67.214996,67.290001,60.775230,686143
2018-02-27,67.550003,68.400002,67.370003,67.800003,61.235855,569078
2018-02-28,63.980000,65.470001,62.610001,63.900002,57.713432,1870870
2018-03-01,63.500000,63.650002,62.509998,63.029999,56.927662,1137640
2018-03-02,62.880001,62.930000,62.040001,62.619999,56.557358,641186
2018-03-05,62.750000,63.459999,62.529999,63.009998,56.909595,482315
2018-03-06,63.000000,63.500000,62.669998,62.820000,57.260529,749346
2018-03-07,62.570000,62.639999,61.799999,62.000000,56.513100,465119
2018-03-08,62.380001,63.240002,62.299999,63.160000,57.570442,307584
2018-03-09,63.139999,64.129997,63.000000,64.110001,58.436367,370273
2018-03-12,64.519997,64.599998,63.820000,63.830002,58.181149,236426
2018-03-13,63.779999,63.779999,62.880001,63.480000,57.862118,442844
2018-03-14,62.970001,63.119999,62.580002,62.849998,57.287876,374673
2018-03-15,62.240002,63.419998,62.230000,63.320000,57.716278,447529
2018-03-16,63.290001,63.349998,62.160000,63.000000,57.424591,559272
2018-03-19,63.169998,63.490002,62.430000,62.930000,57.360790,286289
2018-03-20,62.930000,63.720001,62.910000,63.680000,58.044418,305777
2018-03-21,63.610001,63.840000,62.689999,63.139999,57.552212,234459
2018-03-22,62.740002,63.060001,62.220001,62.730000,57.178493,297460
2018-03-23,62.080002,62.540001,62.000000,62.180000,56.677174,298353
2018-03-26,62.000000,63.230000,61.650002,63.049999,57.470169,477588
2018-03-27,63.230000,63.599998,62.810001,63.549999,57.925930,423151
2018-03-28,63.000000,63.169998,62.230000,62.610001,57.069111,414905
2018-03-29,62.790001,62.869999,62.189999,62.320000,56.804779,441748
2018-04-03,62.000000,62.349998,61.950001,62.130001,56.631596,332169
2018-04-04,61.930000,62.110001,61.220001,61.470001,56.030003,523121
2018-04-05,61.500000,62.110001,61.310001,61.840000,56.367260,380226
2018-04-06,61.900002,62.299999,61.669998,61.860001,56.385490,219496
2018-04-09,62.040001,63.650002,62.000000,63.279999,57.679813,374804
2018-04-10,63.270000,63.340000,62.770000,63.299999,57.698055,291450
2018-04-11,63.029999,63.209999,62.430000,62.520000,56.987080,593105
2018-04-12,62.200001,62.490002,61.560001,61.740002,56.276112,431464
2018-04-13,61.849998,62.840000,61.740002,62.700001,57.151150,279098
2018-04-16,62.770000,62.959999,62.520000,62.869999,57.306103,222271
2018-04-17,62.700001,63.500000,62.700001,63.349998,57.743622,249435
2018-04-18,63.599998,64.050003,63.410000,64.050003,58.381680,418237
2018-04-19,64.190002,64.199997,63.500000,63.549999,57.925930,464945
2018-04-20,63.540001,64.169998,63.259998,63.470001,57.853001,220375
2018-04-23,63.500000,63.500000,62.619999,62.700001,57.151150,232266
2018-04-24,63.009998,63.610001,62.840000,63.340000,57.734509,314869
2018-04-26,63.500000,64.339996,63.200001,64.160004,58.481945,743735
2018-04-27,64.489998,65.139999,64.330002,64.570000,58.855656,286679
2018-04-30,64.570000,65.070000,64.400002,64.690002,58.965042,395581
2018-05-01,64.500000,64.500000,61.549999,61.779999,56.312565,993929
2018-05-02,62.009998,63.259998,62.000000,62.439999,56.914158,528611
2018-05-03,63.549999,64.620003,63.119999,64.550003,58.837425,685583
2018-05-04,64.860001,65.199997,64.330002,64.959999,59.211136,403011
2018-05-07,65.330002,65.419998,64.750000,64.989998,59.238487,270631
2018-05-08,65.300003,65.949997,64.809998,64.860001,59.119991,406301
2018-05-09,64.949997,65.360001,64.599998,65.330002,59.548397,335104
2018-05-10,65.879997,66.099998,64.449997,64.550003,58.837425,521200
2018-05-11,64.739998,64.980003,64.120003,64.370003,58.673359,310033
2018-05-14,64.580002,65.699997,64.510002,65.580002,59.776283,306136
2018-05-15,65.750000,65.879997,64.900002,65.230003,59.457253,409897
2018-05-16,65.519997,65.760002,64.000000,64.000000,58.336102,428020
2018-05-17,63.930000,63.980000,63.105000,63.369999,57.761852,398886
2018-05-18,63.990002,64.029999,63.480000,63.810001,58.162914,322557
2018-05-21,63.750000,64.199997,63.709999,63.750000,58.108231,241914
2018-05-22,63.009998,63.200001,62.700001,62.919998,57.351677,295054
2018-05-23,62.950001,63.240002,62.540001,62.660000,57.114685,251771
2018-05-24,62.500000,63.130001,61.799999,61.900002,56.421951,424802
2018-05-25,61.779999,61.830002,61.240002,61.500000,56.057350,479426
2018-05-28,61.410000,61.740002,61.049999,61.290001,55.865929,499263
2018-05-29,61.099998,61.700001,61.029999,61.599998,56.148495,535195
2018-05-30,61.400002,61.509998,61.060001,61.189999,55.774780,1060610
2018-05-31,61.360001,61.810001,61.099998,61.330002,55.902397,475840
2018-06-01,61.299999,61.599998,61.139999,61.240002,55.820354,324282
2018-06-04,61.110001,61.189999,59.799999,59.900002,54.598953,568058
2018-06-05,59.279999,59.340000,57.450001,58.099998,52.958241,974108
2018-06-06,58.130001,58.810001,56.950001,57.099998,52.046738,1115373
2018-06-07,57.099998,57.790001,56.869999,57.660000,52.557182,690734
2018-06-08,57.599998,57.619999,56.450001,56.660000,51.645679,459014
2018-06-12,56.740002,58.380001,56.720001,58.180000,53.031155,615648
2018-06-13,58.150002,58.480000,57.730000,58.480000,53.304615,570332
2018-06-14,58.400002,58.400002,57.119999,57.779999,52.666561,457881
2018-06-15,58.000000,59.099998,57.930000,58.939999,53.723904,789727
2018-06-18,59.000000,60.320000,59.000000,60.230000,54.899742,629703
2018-06-19,61.040001,61.490002,60.669998,61.099998,55.692738,789791
2018-06-20,61.730000,62.290001,61.220001,62.169998,56.668049,686233
2018-06-21,57.000000,58.080002,54.349998,57.490002,52.402229,3891916
2018-06-22,57.009998,57.299999,55.630001,56.110001,51.144352,1889227
2018-06-25,55.630001,55.919998,54.360001,54.619999,49.786213,1626830
2018-06-26,54.270000,54.779999,53.410000,53.520000,48.783558,1233246
2018-06-27,53.470001,54.880001,53.400002,54.000000,49.221081,1459734
2018-06-28,53.700001,54.000000,53.450001,53.779999,49.020557,725782
2018-06-29,53.799999,53.980000,53.500000,53.980000,49.202854,751512
2018-07-02,53.650002,53.700001,53.020000,53.230000,48.519230,612605
2018-07-03,53.200001,54.130001,53.049999,53.830002,49.066135,388046
2018-07-04,53.540001,53.790001,53.049999,53.419998,48.692413,424335
2018-07-05,53.500000,53.610001,53.009998,53.560001,48.820019,499401
2018-07-06,53.700001,54.470001,53.560001,54.470001,49.649490,466122
2018-07-09,54.490002,54.500000,53.700001,54.029999,49.248428,432072
2018-07-10,54.200001,54.490002,53.750000,53.919998,49.148167,334331
2018-07-11,53.900002,54.570000,53.860001,54.060001,49.275776,396110
2018-07-12,53.900002,54.750000,53.860001,54.099998,49.312237,468000
2018-07-13,54.299999,54.900002,54.180000,54.619999,49.786213,339399
2018-07-16,54.330002,55.360001,53.250000,55.090000,50.214619,642185
2018-07-17,54.759998,55.279999,54.310001,54.549999,49.722412,351006
2018-07-18,54.919998,56.259998,54.759998,55.840000,50.898247,600847
2018-07-19,55.720001,55.750000,54.810001,55.430000,50.524532,448919
2018-07-20,55.599998,56.939999,55.500000,56.939999,51.900898,504796
2018-07-23,56.980000,57.169998,56.200001,56.779999,51.755058,514336
2018-07-24,57.009998,57.820000,56.820000,57.220001,52.156124,343445
2018-07-25,57.000000,57.220001,56.299999,56.520000,51.518070,377395
2018-07-26,56.799999,56.919998,56.310001,56.540001,51.536301,315253
2018-07-27,56.549999,57.180000,56.500000,56.889999,51.855328,302339
2018-07-30,56.889999,56.889999,56.320000,56.459999,51.463371,302802
2018-07-31,56.299999,56.880001,56.060001,56.240002,51.262856,401608
2018-08-01,56.660000,56.950001,56.310001,56.509998,51.508949,270227
2018-08-02,56.720001,57.700001,56.330002,57.360001,52.283730,590069
2018-08-03,57.599998,57.980000,56.520000,56.580002,51.572762,356206
2018-08-06,57.000000,57.799999,56.730000,57.029999,51.982933,254494
2018-08-07,56.450001,56.500000,54.540001,54.650002,49.813564,569681
2018-08-08,54.500000,54.869999,53.270000,53.410000,48.683296,698393
