Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10.890000,10.890000,10.780000,10.830000,10.537804,721423
2018-01-03,10.890000,10.930000,10.870000,10.900000,10.605913,573351
2018-01-04,11.000000,11.020000,10.970000,11.010000,10.712946,797024
2018-01-05,11.020000,11.020000,10.960000,10.990000,10.693486,782271
2018-01-08,11.120000,11.170000,11.120000,11.150000,10.849168,561111
2018-01-09,11.230000,11.250000,11.140000,11.150000,10.849168,994050
2018-01-10,11.220000,11.240000,11.120000,11.140000,10.839438,2037835
2018-01-11,11.010000,11.080000,10.930000,10.980000,10.683756,1232747
2018-01-12,10.940000,11.040000,10.940000,11.000000,10.703216,516094
2018-01-15,11.040000,11.070000,10.930000,10.940000,10.644836,779949
2018-01-16,10.940000,11.010000,10.870000,11.010000,10.712946,1094781
2018-01-17,11.020000,11.070000,10.980000,11.040000,10.742137,703089
2018-01-18,11.100000,11.135000,11.010000,11.020000,10.722677,1609829
2018-01-19,11.100000,11.155000,11.080000,11.100000,10.800517,1934019
2018-01-22,11.080000,11.140000,11.000000,11.040000,10.742137,996219
2018-01-23,12.120000,12.300000,11.870000,11.970000,11.647043,3243644
2018-01-24,12.450000,12.580000,12.245000,12.300000,11.968143,5444588
2018-01-25,12.360000,12.435000,12.320000,12.340000,12.007061,2719751
2018-01-29,12.630000,12.810000,12.600000,12.660000,12.318428,2902706
2018-01-30,12.640000,12.660000,12.300000,12.300000,11.968143,3746468
2018-01-31,12.460000,12.555000,12.430000,12.470000,12.133556,4014135
2018-02-01,12.520000,12.570000,12.420000,12.470000,12.133556,2462331
2018-02-02,12.270000,12.395000,12.270000,12.340000,12.007061,1486382
2018-02-05,12.280000,12.290000,12.135000,12.180000,11.851379,2175278
2018-02-06,11.670000,11.800000,11.430000,11.580000,11.267570,3510139
2018-02-07,11.920000,12.000000,11.710000,11.770000,11.487161,3220113
2018-02-08,11.720000,11.900000,11.710000,11.820000,11.535957,2000085
2018-02-09,11.500000,11.620000,11.440000,11.600000,11.321245,1337737
2018-02-12,11.600000,11.670000,11.530000,11.610000,11.331005,1587291
2018-02-13,11.670000,11.690000,11.520000,11.540000,11.262687,2631103
2018-02-14,11.600000,11.680000,11.520000,11.540000,11.262687,1921190
2018-02-15,11.760000,11.790000,11.650000,11.710000,11.428599,3077070
2018-02-16,11.870000,11.970000,11.800000,11.800000,11.516439,1985798
2018-02-19,11.860000,11.890000,11.770000,11.790000,11.506680,1274042
2018-02-20,11.770000,11.800000,11.660000,11.720000,11.438361,2448994
2018-02-21,11.750000,11.890000,11.730000,11.880000,11.594516,1421895
2018-02-22,12.040000,12.040000,11.915000,11.950000,11.662835,1864979
2018-02-23,12.020000,12.030000,11.910000,12.000000,11.711634,1230789
2018-02-26,12.140000,12.190000,12.080000,12.080000,11.789710,1572135
2018-02-27,12.270000,12.345000,12.260000,12.280000,11.984904,1759034
2018-02-28,12.280000,12.350000,12.240000,12.300000,12.004426,1563399
2018-03-01,12.210000,12.250000,12.160000,12.240000,11.945865,1556927
2018-03-02,12.150000,12.150000,11.970000,12.060000,11.770190,909229
2018-03-05,12.180000,12.230000,12.080000,12.090000,11.799469,1925076
2018-03-06,12.300000,12.300000,12.240000,12.280000,11.984904,1838849
2018-03-07,12.250000,12.290000,12.110000,12.160000,11.867787,959826
2018-03-08,12.350000,12.440000,12.350000,12.420000,12.121540,1336091
2018-03-09,12.460000,12.630000,12.460000,12.600000,12.297215,1235884
2018-03-12,12.740000,12.740000,12.580000,12.660000,12.355772,1166779
2018-03-13,12.630000,12.640000,12.525000,12.530000,12.228896,1421843
2018-03-14,12.510000,12.560000,12.460000,12.520000,12.219137,1849931
2018-03-15,12.480000,12.560000,12.460000,12.490000,12.189857,1628360
2018-03-16,12.570000,12.590000,12.500000,12.500000,12.199618,5581546
2018-03-19,12.700000,12.760000,12.640000,12.690000,12.385053,1367056
2018-03-20,12.670000,12.790000,12.670000,12.760000,12.453371,1327544
2018-03-21,12.800000,12.850000,12.715000,12.750000,12.443609,908816
2018-03-22,12.700000,12.700000,12.590000,12.620000,12.316732,1436729
2018-03-23,12.460000,12.500000,12.370000,12.420000,12.121540,1527622
2018-03-26,12.440000,12.520000,12.370000,12.490000,12.189857,1345120
2018-03-27,12.590000,12.790000,12.590000,12.740000,12.433849,1217491
2018-03-28,12.600000,12.680000,12.490000,12.540000,12.238657,2342821
2018-03-29,12.520000,12.550000,12.340000,12.360000,12.062982,2674544
2018-04-03,12.470000,12.550000,12.430000,12.490000,12.189857,2183379
2018-04-04,12.460000,12.550000,12.405000,12.480000,12.180098,1849741
2018-04-05,12.300000,12.350000,12.130000,12.220000,11.926346,4488972
2018-04-06,12.340000,12.350000,12.230000,12.240000,11.945865,2563820
2018-04-09,12.220000,12.330000,12.195000,12.320000,12.023941,1721474
2018-04-10,12.260000,12.375000,12.240000,12.370000,12.072742,1341955
2018-04-11,12.350000,12.460000,12.270000,12.370000,12.072742,1651714
2018-04-12,12.390000,12.470000,12.360000,12.400000,12.102021,1875579
2018-04-13,12.670000,12.760000,12.665000,12.690000,12.385053,2493978
2018-04-16,12.700000,12.840000,12.690000,12.790000,12.482649,1939792
2018-04-17,12.850000,12.860000,12.770000,12.830000,12.521686,2291925
2018-04-18,12.910000,12.970000,12.870000,12.930000,12.619285,1929610
2018-04-19,12.950000,12.970000,12.885000,12.920000,12.609525,2531117
2018-04-20,12.950000,12.970000,12.920000,12.950000,12.638803,2903349
2018-04-23,12.920000,12.940000,12.730000,12.830000,12.521686,1745740
2018-04-24,12.840000,12.860000,12.730000,12.800000,12.492409,2565329
2018-04-26,12.650000,12.750000,12.640000,12.650000,12.346011,3428850
2018-04-27,12.810000,13.070000,12.810000,12.950000,12.638803,3061263
2018-04-30,12.600000,12.740000,12.510000,12.680000,12.375293,2958008
2018-05-01,12.640000,12.655000,12.560000,12.620000,12.316732,2040909
2018-05-02,12.690000,12.900000,12.690000,12.820000,12.511929,1849311
2018-05-03,12.880000,12.900000,12.820000,12.850000,12.541207,1681419
2018-05-04,12.900000,12.950000,12.840000,12.900000,12.590007,735696
2018-05-07,13.030000,13.140000,12.980000,13.080000,12.765679,1198774
2018-05-08,13.070000,13.150000,13.030000,13.110000,12.794960,1604960
2018-05-09,13.140000,13.195000,13.090000,13.100000,12.819425,1128448
2018-05-10,13.200000,13.330000,13.180000,13.310000,13.024927,2840861
2018-05-11,13.460000,13.560000,13.440000,13.500000,13.210856,3080560
2018-05-14,13.550000,13.580000,13.510000,13.570000,13.279355,2763438
2018-05-15,13.550000,13.590000,13.450000,13.550000,13.259784,1184256
2018-05-16,13.620000,13.680000,13.580000,13.580000,13.289143,1293519
2018-05-17,13.660000,13.660000,13.480000,13.540000,13.249999,1111972
2018-05-18,13.490000,13.500000,13.420000,13.440000,13.152141,987491
