Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.460000,4.500000,4.430000,4.460000,3.147472,2488184
2018-01-03,4.460000,4.460000,4.420000,4.440000,3.133358,2860555
2018-01-04,4.440000,4.450000,4.390000,4.410000,3.112187,5540525
2018-01-05,4.410000,4.420000,4.380000,4.410000,3.112187,2778765
2018-01-08,4.410000,4.450000,4.390000,4.440000,3.133358,2762008
2018-01-09,4.460000,4.500000,4.430000,4.440000,3.133358,8599192
2018-01-10,4.440000,4.450000,4.350000,4.360000,3.076902,5500398
2018-01-11,4.370000,4.370000,4.325000,4.360000,3.076902,3876540
2018-01-12,4.340000,4.350000,4.280000,4.280000,3.020445,6555528
2018-01-15,4.300000,4.300000,4.260000,4.280000,3.020445,3406417
2018-01-16,4.280000,4.290000,4.250000,4.250000,2.999274,4303145
2018-01-17,4.310000,4.340000,4.250000,4.270000,3.013388,5712753
2018-01-18,4.270000,4.290000,4.220000,4.270000,3.013388,6359029
2018-01-19,4.250000,4.250000,4.210000,4.240000,2.992216,5480712
2018-01-22,4.240000,4.270000,4.220000,4.260000,3.006330,5757311
2018-01-23,4.300000,4.310000,4.270000,4.300000,3.034559,4306621
2018-01-24,4.310000,4.340000,4.260000,4.310000,3.041615,7640004
2018-01-25,4.310000,4.310000,4.220000,4.260000,3.006330,5395951
2018-01-29,4.260000,4.260000,4.190000,4.200000,2.963987,8638972
2018-01-30,4.170000,4.195000,4.135000,4.160000,2.935759,9000895
2018-01-31,4.150000,4.235000,4.150000,4.220000,2.978101,9101406
2018-02-01,4.220000,4.250000,4.210000,4.250000,2.999274,14421294
2018-02-02,4.160000,4.200000,4.110000,4.170000,2.942816,8694926
2018-02-05,4.120000,4.130000,4.080000,4.080000,2.879302,8379720
2018-02-06,4.000000,4.040000,3.920000,3.950000,2.787560,11585548
2018-02-07,3.970000,4.010000,3.940000,3.960000,2.794617,12945961
2018-02-08,3.940000,3.990000,3.940000,3.960000,2.794617,6581160
2018-02-09,3.950000,4.020000,3.920000,3.990000,2.815788,10372138
2018-02-12,3.970000,3.980000,3.930000,3.950000,2.787560,5874530
2018-02-13,3.960000,4.010000,3.940000,3.990000,2.815788,6202490
2018-02-14,3.980000,4.000000,3.950000,3.980000,2.808731,8363995
2018-02-15,3.930000,3.950000,3.920000,3.940000,2.780503,9221862
2018-02-16,3.950000,3.975000,3.930000,3.950000,2.787560,7385432
2018-02-19,3.970000,4.000000,3.950000,3.980000,2.808731,3107648
2018-02-20,3.970000,4.025000,3.950000,4.010000,2.829903,3828612
2018-02-21,4.070000,4.150000,4.040000,4.110000,2.900473,8008851
2018-02-22,4.080000,4.130000,3.995000,4.000000,2.822845,10681010
2018-02-23,4.010000,4.070000,3.995000,4.040000,2.851074,7257904
2018-02-26,4.070000,4.105000,4.050000,4.100000,2.893416,6209910
2018-02-27,4.100000,4.140000,4.080000,4.120000,2.907531,8220389
2018-02-28,4.120000,4.120000,4.010000,4.040000,2.851074,10236330
2018-03-01,4.020000,4.050000,4.000000,4.050000,2.858131,10857492
2018-03-02,4.050000,4.090000,4.030000,4.070000,2.872245,7963221
2018-03-05,4.070000,4.090000,4.040000,4.060000,2.865188,3257411
2018-03-06,4.090000,4.100000,4.010000,4.040000,2.851074,5558492
2018-03-07,4.020000,4.030000,3.995000,4.000000,2.822845,6048005
2018-03-08,4.000000,4.040000,3.990000,4.040000,2.851074,4692178
2018-03-09,4.030000,4.100000,4.030000,4.090000,2.886359,6142356
2018-03-12,4.100000,4.150000,4.100000,4.110000,2.900473,4361243
2018-03-13,4.110000,4.115000,4.070000,4.100000,2.893416,7791685
2018-03-14,4.080000,4.100000,4.070000,4.070000,2.872245,4306602
2018-03-15,4.110000,4.120000,4.070000,4.100000,2.893416,8863384
2018-03-16,4.110000,4.150000,4.100000,4.150000,2.928702,11571046
2018-03-19,4.170000,4.200000,4.140000,4.190000,2.956931,4215139
2018-03-20,4.130000,4.140000,4.115000,4.130000,2.914588,5807674
2018-03-21,4.120000,4.130000,4.040000,4.090000,2.886359,10069330
2018-03-22,4.060000,4.075000,4.015000,4.060000,2.865188,6024932
2018-03-23,4.020000,4.040000,4.000000,4.010000,2.829903,4147775
2018-03-26,3.990000,3.990000,3.950000,3.970000,2.801674,5811766
2018-03-27,3.990000,4.000000,3.960000,3.990000,2.815788,7930654
2018-03-28,4.000000,4.050000,3.990000,4.000000,2.822845,5746059
2018-03-29,3.990000,4.050000,3.990000,4.030000,2.844017,11601327
2018-04-03,3.990000,4.015000,3.980000,3.980000,2.808731,4555852
2018-04-04,4.000000,4.020000,3.950000,4.010000,2.829903,5485655
2018-04-05,4.000000,4.060000,4.000000,4.040000,2.851074,4459904
2018-04-06,4.030000,4.060000,4.020000,4.050000,2.858131,7214936
2018-04-09,4.050000,4.070000,4.020000,4.050000,2.858131,3887188
2018-04-10,4.030000,4.060000,4.030000,4.050000,2.858131,4035635
2018-04-11,4.010000,4.025000,4.000000,4.010000,2.829903,4124949
2018-04-12,3.960000,3.990000,3.950000,3.950000,2.787560,5447940
2018-04-13,3.950000,3.980000,3.940000,3.950000,2.787560,5796269
2018-04-16,3.960000,3.960000,3.920000,3.930000,2.773446,3093745
2018-04-17,3.930000,3.960000,3.920000,3.940000,2.780503,3303207
2018-04-18,3.980000,3.980000,3.950000,3.970000,2.801674,2926848
2018-04-19,3.980000,3.990000,3.930000,3.950000,2.787560,4758388
2018-04-20,3.950000,3.950000,3.910000,3.910000,2.759332,4355361
2018-04-23,3.930000,3.930000,3.900000,3.910000,2.759332,3475261
2018-04-24,3.940000,3.960000,3.910000,3.950000,2.787560,5093145
2018-04-26,3.960000,4.000000,3.940000,3.980000,2.808731,5605948
2018-04-27,4.000000,4.020000,3.990000,4.010000,2.829903,4911261
2018-04-30,4.050000,4.140000,4.040000,4.140000,2.921645,11234035
2018-05-01,4.150000,4.200000,4.130000,4.170000,2.942816,5389910
2018-05-02,4.160000,4.215000,4.150000,4.200000,2.963987,5273836
2018-05-03,4.230000,4.230000,4.155000,4.170000,2.942816,6220505
2018-05-04,4.170000,4.210000,4.140000,4.150000,2.928702,3826512
2018-05-07,4.180000,4.210000,4.160000,4.190000,2.956931,2759595
2018-05-08,4.230000,4.260000,4.190000,4.200000,2.963987,4511823
2018-05-09,4.230000,4.290000,4.225000,4.270000,3.013388,6392626
2018-05-10,4.300000,4.300000,4.230000,4.240000,2.992216,2948763
2018-05-11,4.250000,4.270000,4.210000,4.220000,2.978101,4133579
2018-05-14,4.260000,4.280000,4.240000,4.250000,2.999274,3718411
2018-05-15,4.240000,4.250000,4.200000,4.210000,2.971045,4762124
2018-05-16,4.200000,4.210000,4.170000,4.180000,2.949873,4460012
2018-05-17,4.190000,4.190000,4.100000,4.120000,2.907531,5824634
2018-05-18,4.140000,4.190000,4.130000,4.190000,2.956931,5409630
2018-05-21,4.190000,4.195000,4.160000,4.170000,2.942816,3945462
2018-05-22,4.150000,4.170000,4.120000,4.170000,2.942816,4581549
2018-05-23,4.180000,4.285000,4.170000,4.270000,3.013388,6537184
2018-05-24,4.250000,4.350000,4.250000,4.350000,3.069844,7361132
2018-05-25,4.320000,4.340000,4.300000,4.320000,3.048673,5426323
2018-05-28,4.350000,4.360000,4.310000,4.330000,3.055730,3330233
2018-05-29,4.320000,4.330000,4.220000,4.230000,2.985159,8789298
2018-05-30,4.180000,4.210000,4.160000,4.180000,2.949873,11369329
2018-05-31,4.160000,4.180000,4.120000,4.150000,2.928702,7182192
2018-06-01,4.140000,4.150000,4.110000,4.130000,2.914588,3180355
2018-06-04,4.160000,4.220000,4.135000,4.220000,2.978101,11174913
2018-06-05,4.200000,4.200000,4.120000,4.140000,2.921645,6539669
2018-06-06,4.160000,4.200000,4.140000,4.200000,2.963987,6041049
2018-06-07,4.160000,4.180000,4.145000,4.160000,2.935759,3952807
2018-06-08,4.140000,4.190000,4.130000,4.140000,2.921645,3918090
2018-06-12,4.140000,4.170000,4.120000,4.150000,2.928702,4231545
2018-06-13,4.140000,4.150000,4.100000,4.130000,2.914588,5455400
2018-06-14,4.100000,4.160000,4.090000,4.150000,2.928702,4277808
2018-06-15,4.170000,4.190000,4.150000,4.150000,2.928702,11594828
2018-06-18,4.150000,4.180000,4.120000,4.170000,2.942816,8799195
2018-06-19,4.170000,4.180000,4.120000,4.150000,2.928702,4534779
2018-06-20,4.180000,4.200000,4.170000,4.190000,2.956931,4556899
2018-06-21,4.220000,4.220000,4.180000,4.180000,2.949873,8184053
2018-06-22,4.190000,4.190000,4.150000,4.190000,2.956931,3517537
2018-06-25,4.180000,4.190000,4.135000,4.140000,2.921645,4916559
2018-06-26,4.130000,4.150000,4.100000,4.130000,2.914588,6702354
2018-06-27,4.130000,4.140000,4.100000,4.100000,2.893416,5865996
2018-06-28,4.000000,4.010000,3.945000,3.970000,2.897065,7449506
2018-06-29,3.990000,4.010000,3.950000,3.970000,2.897065,9339435
2018-07-02,4.000000,4.020000,3.980000,3.980000,2.904363,5094532
2018-07-03,3.980000,4.015000,3.970000,4.000000,2.918957,4816279
2018-07-04,4.000000,4.020000,3.980000,4.000000,2.918957,8876301
2018-07-05,4.000000,4.010000,3.970000,4.000000,2.918957,9031165
2018-07-06,4.010000,4.030000,3.985000,4.020000,2.933553,5607641
2018-07-09,4.040000,4.040000,4.020000,4.020000,2.933553,4533776
2018-07-10,4.100000,4.145000,4.070000,4.120000,3.006526,11158696
2018-07-11,4.100000,4.110000,4.050000,4.050000,2.955445,4623676
2018-07-12,4.090000,4.150000,4.075000,4.130000,3.013824,10457513
2018-07-13,4.120000,4.150000,4.100000,4.140000,3.021121,3947688
2018-07-16,4.150000,4.155000,4.080000,4.100000,2.991931,3054300
2018-07-17,4.080000,4.130000,4.070000,4.120000,3.006526,4976763
2018-07-18,4.140000,4.150000,4.120000,4.130000,3.013824,3093471
2018-07-19,4.120000,4.120000,4.070000,4.110000,2.999229,5224052
2018-07-20,4.140000,4.170000,4.130000,4.170000,3.043013,6579752
2018-07-23,4.150000,4.150000,4.090000,4.090000,2.984634,4933223
2018-07-24,4.080000,4.100000,4.050000,4.050000,2.955445,5649602
2018-07-25,4.070000,4.080000,4.030000,4.080000,2.977337,10269918
2018-07-26,4.090000,4.100000,4.060000,4.090000,2.984634,5781248
2018-07-27,4.110000,4.150000,4.090000,4.110000,2.999229,5817323
