Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,28.719999,28.850000,28.180000,28.350000,28.350000,33682
2018-01-03,28.850000,28.850000,28.250000,28.700001,28.700001,133086
2018-01-04,28.719999,28.719999,28.260000,28.549999,28.549999,147271
2018-01-05,28.650000,29.049999,28.530001,28.900000,28.900000,145177
2018-01-08,29.070000,29.639999,29.070000,29.480000,29.480000,198755
2018-01-09,29.500000,29.629999,29.350000,29.500000,29.500000,115932
2018-01-10,29.420000,29.879999,29.340000,29.799999,29.799999,143977
2018-01-11,29.600000,29.959999,29.400000,29.760000,29.760000,172031
2018-01-12,29.940001,30.165001,29.830000,29.910000,29.910000,98503
2018-01-15,30.100000,30.139999,29.809999,29.959999,29.959999,143356
2018-01-16,30.100000,31.129999,30.070000,30.690001,30.690001,251084
2018-01-17,30.700001,30.700001,30.299999,30.530001,30.530001,183933
2018-01-18,30.650000,30.680000,30.309999,30.600000,30.600000,147001
2018-01-19,30.450001,30.450001,29.809999,29.950001,29.950001,166207
2018-01-22,29.900000,30.129999,29.799999,30.010000,30.010000,111203
2018-01-23,30.100000,30.590000,29.950001,30.100000,30.100000,166075
2018-01-24,30.219999,30.889999,30.170000,30.750000,30.750000,129351
2018-01-25,30.750000,31.799999,30.750000,31.700001,31.700001,233647
2018-01-29,31.820000,31.840000,31.170000,31.260000,31.260000,393369
2018-01-30,31.200001,31.200001,30.330000,30.330000,30.330000,111916
2018-01-31,30.010000,31.480000,29.360001,31.469999,31.469999,558203
2018-02-01,31.840000,35.349998,31.820000,34.790001,34.790001,515561
2018-02-02,34.740002,35.490002,33.349998,33.490002,33.490002,251835
2018-02-05,32.549999,32.860001,31.260000,31.549999,31.549999,254618
2018-02-06,30.160000,30.930000,29.809999,30.700001,30.700001,465562
2018-02-07,32.639999,32.900002,31.860001,32.590000,32.590000,336751
2018-02-08,32.700001,32.700001,31.650000,32.000000,32.000000,236548
2018-02-09,30.950001,32.220001,30.889999,31.770000,31.770000,435283
2018-02-12,31.760000,31.990000,31.000000,31.080000,31.080000,536912
2018-02-13,31.139999,31.940001,31.000000,31.549999,31.549999,432280
2018-02-14,31.400000,31.400000,30.600000,30.920000,30.920000,717174
2018-02-15,31.230000,31.940001,30.799999,31.760000,31.760000,629842
2018-02-16,32.000000,32.950001,31.850000,32.099998,32.099998,370531
2018-02-19,32.549999,32.549999,31.379999,32.000000,32.000000,198235
2018-02-20,32.000000,32.000000,31.450001,31.450001,31.450001,111091
2018-02-21,31.600000,31.850000,31.139999,31.600000,31.600000,402844
2018-02-22,31.480000,31.990000,31.290001,31.600000,31.600000,391194
2018-02-23,31.959999,31.959999,31.250000,31.559999,31.559999,151130
2018-02-26,32.000000,32.090000,31.480000,31.660000,31.660000,144447
2018-02-27,32.180000,32.180000,31.049999,31.330000,31.330000,203252
2018-02-28,31.240000,31.980000,30.600000,31.760000,31.760000,193430
2018-03-01,31.980000,32.619999,31.870001,32.230000,32.230000,254162
2018-03-02,32.240002,33.000000,32.150002,32.880001,32.880001,308630
2018-03-05,32.430000,32.430000,30.770000,30.850000,30.850000,589179
2018-03-06,31.400000,32.080002,31.160000,31.770000,31.770000,420660
2018-03-07,31.959999,32.119999,31.680000,31.790001,31.790001,326699
2018-03-08,31.650000,32.669998,31.650000,32.230000,32.230000,333494
2018-03-09,32.560001,32.735001,31.549999,31.840000,31.840000,545004
2018-03-12,32.419998,33.480000,31.830000,32.970001,32.970001,1054928
2018-03-13,33.000000,34.660000,32.990002,34.000000,34.000000,1332400
2018-03-14,33.700001,35.400002,33.639999,34.869999,34.869999,989901
2018-03-15,34.000000,34.900002,33.599998,34.400002,34.400002,1163708
2018-03-16,34.150002,34.900002,33.770000,34.209999,34.209999,8302909
2018-03-19,34.500000,34.639999,34.070000,34.500000,34.500000,632706
2018-03-20,34.380001,35.500000,33.830002,35.250000,35.250000,1287871
2018-03-21,35.250000,35.340000,34.630001,34.840000,34.840000,355663
2018-03-22,34.480000,35.299999,34.070000,35.000000,35.000000,334224
2018-03-23,34.419998,35.000000,34.070000,34.830002,34.830002,382711
2018-03-26,34.500000,34.639999,33.820000,34.599998,34.599998,459683
2018-03-27,34.830002,36.000000,34.799999,35.099998,35.099998,486602
2018-03-28,34.750000,34.750000,33.540001,34.439999,34.439999,500602
2018-03-29,34.439999,34.799999,33.009998,33.439999,33.439999,692011
2018-04-03,32.910000,33.660000,32.560001,32.799999,32.799999,631474
2018-04-04,33.299999,34.340000,32.820000,33.680000,33.680000,525644
2018-04-05,33.990002,34.389999,33.590000,33.730000,33.730000,267262
2018-04-06,33.799999,34.480000,33.270000,34.080002,34.080002,163003
2018-04-09,33.860001,33.990002,33.389999,33.849998,33.849998,341905
2018-04-10,34.150002,35.950001,34.150002,35.009998,35.009998,693393
2018-04-11,35.009998,35.500000,34.619999,34.910000,34.910000,314240
2018-04-12,34.799999,35.689999,34.200001,34.930000,34.930000,710186
2018-04-13,34.799999,35.349998,34.630001,34.959999,34.959999,216926
2018-04-16,35.849998,35.880001,35.130001,35.500000,35.500000,257987
2018-04-17,35.680000,36.040001,35.419998,35.459999,35.459999,319692
2018-04-18,35.490002,37.000000,35.459999,36.000000,36.000000,568106
2018-04-19,36.349998,37.549999,35.830002,37.040001,37.040001,622533
2018-04-20,37.000000,37.500000,36.680000,37.310001,37.310001,461294
2018-04-23,37.500000,37.500000,36.630001,37.220001,37.220001,235468
2018-04-24,37.389999,37.919998,37.200001,37.470001,37.470001,345880
2018-04-26,37.639999,38.000000,37.520000,37.849998,37.849998,377008
2018-04-27,37.849998,38.490002,37.849998,38.099998,38.099998,439780
2018-04-30,38.500000,38.639999,37.770000,38.029999,38.029999,543852
2018-05-01,37.900002,38.349998,37.680000,38.209999,38.209999,293410
2018-05-02,38.750000,40.080002,38.500000,39.500000,39.500000,626024
2018-05-03,39.860001,40.500000,38.869999,39.020000,39.020000,1260457
2018-05-04,39.599998,40.599998,39.599998,40.049999,40.049999,414294
2018-05-07,40.220001,41.290001,40.220001,41.090000,41.090000,475899
2018-05-08,41.000000,41.000000,39.360001,39.910000,39.910000,488885
2018-05-09,40.520000,41.369999,40.520000,41.279999,41.279999,678543
2018-05-10,41.490002,42.200001,39.889999,39.889999,39.889999,1522800
2018-05-11,39.700001,40.689999,39.700001,40.000000,40.000000,627931
2018-05-14,40.000000,40.439999,39.700001,40.070000,40.070000,343848
2018-05-15,38.540001,40.209999,37.750000,39.990002,39.990002,750359
2018-05-16,40.180000,40.360001,39.720001,39.790001,39.790001,374446
2018-05-17,40.000000,40.169998,39.279999,39.490002,39.490002,291864
2018-05-18,39.110001,39.650002,39.090000,39.459999,39.459999,258995
2018-05-21,39.290001,40.000000,38.810001,39.860001,39.860001,189281
2018-05-22,39.500000,40.060001,39.080002,39.240002,39.240002,305191
2018-05-23,39.000000,39.110001,38.070000,38.369999,38.369999,258792
2018-05-24,38.020000,39.259998,38.000000,39.110001,39.110001,306712
2018-05-25,38.939999,39.605000,38.740002,39.500000,39.500000,273186
2018-05-28,39.700001,40.400002,39.560001,40.320000,40.320000,569093
2018-05-29,40.099998,40.220001,38.919998,39.310001,39.310001,415767
2018-05-30,39.000000,40.230000,39.000000,40.200001,40.200001,340738
2018-05-31,40.450001,40.980000,40.169998,40.970001,40.970001,476819
2018-06-01,40.970001,41.180000,40.439999,40.860001,40.860001,289405
2018-06-04,41.099998,41.450001,40.980000,41.119999,41.119999,161299
2018-06-05,41.150002,42.610001,41.150002,42.299999,42.299999,460693
2018-06-06,42.709999,44.200001,42.709999,43.610001,43.610001,650115
2018-06-07,43.770000,44.750000,43.770000,44.009998,44.009998,542506
2018-06-08,44.049999,44.130001,43.520000,43.950001,43.950001,237263
2018-06-12,44.360001,45.639999,44.360001,44.980000,44.980000,852780
2018-06-13,44.900002,45.320000,44.520000,44.770000,44.770000,273951
2018-06-14,45.000000,45.950001,44.849998,45.000000,45.000000,336864
2018-06-15,45.680000,46.005001,45.389999,45.779999,45.779999,417718
2018-06-18,45.900002,46.410000,45.330002,45.540001,45.540001,413772
2018-06-19,46.049999,46.500000,45.240002,45.360001,45.360001,2045962
2018-06-20,45.919998,46.250000,45.389999,45.720001,45.720001,378498
2018-06-21,47.250000,47.810001,46.630001,47.439999,47.439999,582025
2018-06-22,46.860001,47.090000,45.650002,46.169998,46.169998,408958
2018-06-25,46.650002,47.169998,45.680000,46.040001,46.040001,262091
2018-06-26,45.009998,45.790001,44.889999,45.099998,45.099998,339206
2018-06-27,44.939999,46.404999,44.939999,46.099998,46.099998,339179
2018-06-28,46.570000,46.599998,45.209999,45.290001,45.290001,263570
2018-06-29,45.400002,45.660000,44.950001,45.009998,45.009998,581816
2018-07-02,45.810001,46.349998,45.630001,45.860001,45.860001,306273
2018-07-03,46.299999,47.119999,45.849998,46.000000,46.000000,495551
2018-07-04,45.669998,46.000000,44.869999,45.349998,45.349998,279016
2018-07-05,45.340000,45.560001,44.880001,45.000000,45.000000,201991
2018-07-06,45.009998,45.209999,44.380001,45.009998,45.009998,249102
2018-07-09,45.500000,45.980000,45.040001,45.529999,45.529999,211942
2018-07-10,45.439999,46.400002,45.080002,45.200001,45.200001,319632
2018-07-11,45.000000,45.330002,44.360001,44.419998,44.419998,307383
2018-07-12,44.599998,46.270000,44.599998,45.799999,45.799999,1797107
2018-07-13,46.000000,46.869999,45.779999,46.290001,46.290001,367086
2018-07-16,46.480000,46.860001,46.029999,46.090000,46.090000,318565
2018-07-17,45.990002,46.410000,45.209999,45.349998,45.349998,160521
2018-07-18,46.290001,46.619999,45.119999,45.450001,45.450001,565410
2018-07-19,45.349998,45.560001,44.980000,45.299999,45.299999,307757
2018-07-20,45.619999,46.189999,45.279999,45.990002,45.990002,463455
2018-07-23,45.900002,45.970001,45.380001,45.500000,45.500000,293191
2018-07-24,45.400002,45.599998,44.759998,44.980000,44.980000,277286
2018-07-25,45.009998,45.099998,44.250000,44.830002,44.830002,269619
2018-07-26,44.790001,44.790001,44.000000,44.020000,44.020000,242295
2018-07-27,44.040001,45.049999,44.040001,44.860001,44.860001,275756
2018-07-30,44.880001,45.099998,43.720001,43.930000,43.930000,1089907
2018-07-31,43.330002,43.330002,42.580002,42.799999,42.799999,510602
2018-08-01,42.299999,44.770000,42.290001,44.139999,44.139999,579453
2018-08-02,44.099998,44.099998,43.000000,43.000000,43.000000,598846
2018-08-03,43.860001,45.730000,43.860001,44.720001,44.720001,749899
2018-08-06,44.799999,45.209999,42.740002,43.590000,43.590000,560320
2018-08-07,43.709999,45.009998,43.580002,44.770000,44.770000,394470
2018-08-08,44.459999,44.939999,44.299999,44.400002,44.400002,360108
