Date,Open,High,Low,Close,Adj Close,Volume
6/24/2021,6.5,6.6,5.77,6.02,5.675749,14644893
6/25/2021,6.23,6.6,6.07,6.1,5.751174,12707574
6/28/2021,6.15,6.48,6.1,6.33,5.968022,8012844
6/29/2021,6.21,6.38,6.2,6.2,5.845456,5251138
6/30/2021,6.21,6.34,6.2,6.29,5.930309,5827186
7/1/2021,6.25,6.47,6.25,6.37,6.005734,10098205
7/2/2021,6.28,6.35,6.185,6.2,5.845456,8755220
7/5/2021,6.15,6.16,6.055,6.12,5.77003,14309245
7/6/2021,6.1,6.12,6.02,6.07,5.72289,10438369
7/7/2021,6,6.18,6,6.18,5.8266,8101328
7/8/2021,6.13,6.25,6.11,6.23,5.873741,9589111
7/9/2021,6.16,6.25,6.135,6.25,5.892597,15776688
7/12/2021,6.23,6.3,6.18,6.27,5.911453,5024901
7/13/2021,6.16,6.33,6.11,6.28,5.920881,6299115
7/14/2021,6.27,6.34,6.24,6.3,5.939738,6660996
7/15/2021,6.3,6.35,6.25,6.34,5.977451,4218746
7/16/2021,6.32,6.51,6.32,6.45,6.08116,5450814
7/19/2021,6.43,6.46,6.39,6.43,6.062304,4039827
7/20/2021,6.4,6.42,6.33,6.35,5.986878,4349871
7/21/2021,6.36,6.52,6.35,6.46,6.090588,3812565
7/22/2021,6.48,6.57,6.41,6.43,6.062304,3246034
7/23/2021,6.41,6.47,6.395,6.44,6.071732,3616568
7/26/2021,6.45,6.49,6.4,6.48,6.109444,2775362
7/27/2021,6.47,6.6,6.4,6.58,6.203726,3093460
7/28/2021,6.58,6.72,6.54,6.68,6.298007,5287014
7/29/2021,6.68,6.68,6.55,6.62,6.241438,3622920
7/30/2021,6.61,6.68,6.58,6.63,6.250866,4376420
8/2/2021,6.67,6.83,6.63,6.8,6.411146,2269911
8/3/2021,6.81,6.91,6.78,6.8,6.411146,4016121
8/4/2021,6.85,6.91,6.7,6.73,6.345148,4113040
8/5/2021,6.72,6.92,6.71,6.84,6.448858,4036724
8/6/2021,6.87,6.94,6.845,6.91,6.514855,2562719
8/9/2021,6.9,6.95,6.88,6.92,6.524283,2119648
8/10/2021,6.92,7.04,6.9,7.01,6.609137,2286605
8/11/2021,7.02,7.06,6.95,6.97,6.571424,3195180
8/12/2021,7,7.03,6.94,6.97,6.571424,3516592
8/13/2021,7,7.09,6.96,7.05,6.64685,3100760
8/16/2021,7.04,7.23,7.02,7.16,6.750559,2535318
8/17/2021,7.18,7.32,7.17,7.28,6.863697,4100262
8/18/2021,7.35,7.5,7.31,7.36,6.939122,4016540
8/19/2021,7.27,7.35,7.13,7.15,6.741131,4635814
8/20/2021,7.17,7.26,7.15,7.18,6.769415,1771235
8/23/2021,7.17,7.21,7.1,7.11,6.703418,1940255
8/24/2021,7.1,7.12,6.97,6.97,6.571424,3019312
8/25/2021,7.01,7.24,6.98,7.21,6.797699,3001100
8/26/2021,7.17,7.17,7.01,7.05,6.64685,3096812
8/27/2021,7.04,7.07,6.94,6.96,6.561996,3222102
8/30/2021,6.96,7.01,6.82,6.99,6.59028,3139719
8/31/2021,6.99,7.375,6.99,7.3,6.882553,8881379
9/1/2021,7.12,7.215,7.03,7.04,6.701684,4103875
9/2/2021,7,7.025,6.77,6.94,6.606489,5053307
9/3/2021,6.95,6.97,6.76,6.79,6.463698,4366970
9/6/2021,6.76,6.83,6.69,6.77,6.444658,4378550
9/7/2021,6.77,6.86,6.71,6.81,6.482736,3701831
9/8/2021,6.7,6.735,6.61,6.7,6.378023,4365300
9/9/2021,6.72,6.74,6.53,6.61,6.292348,4134121
9/10/2021,6.69,6.75,6.65,6.68,6.358984,3274964
9/13/2021,6.65,6.76,6.58,6.7,6.378023,2639062
9/14/2021,6.68,6.7,6.535,6.58,6.263789,3301375
9/15/2021,6.56,6.57,6.46,6.48,6.168595,5925726
9/16/2021,6.46,6.53,6.46,6.49,6.178114,4501721
9/17/2021,6.48,6.5,6.43,6.44,6.130517,9306125
9/20/2021,6.42,6.71,6.42,6.58,6.263789,4133353
9/21/2021,6.59,6.81,6.57,6.75,6.42562,5261890
9/22/2021,6.73,6.82,6.72,6.73,6.406581,3204290
9/23/2021,6.77,6.92,6.77,6.85,6.520814,2692672
9/24/2021,6.85,6.9,6.81,6.87,6.539853,1721783
9/27/2021,6.87,6.89,6.765,6.78,6.454178,2110208
9/28/2021,6.71,6.79,6.69,6.75,6.42562,2651171
9/29/2021,6.69,6.87,6.61,6.83,6.501775,3372183
9/30/2021,6.86,6.99,6.86,6.98,6.644567,3581486
10/1/2021,6.84,6.94,6.82,6.88,6.549373,3124200
10/4/2021,7,7.2,6.96,7.19,6.844475,6681226
10/5/2021,7.14,7.19,7.03,7.12,6.777839,2956156
10/6/2021,7.15,7.2,6.95,7,6.663606,3128318
10/7/2021,7.04,7.05,6.81,6.9,6.568412,3856402
10/8/2021,6.95,7.03,6.87,6.99,6.654086,3191455
10/11/2021,6.92,6.98,6.83,6.95,6.616008,4091634
10/12/2021,6.94,7,6.91,6.95,6.616008,5062407
10/13/2021,6.93,6.95,6.85,6.92,6.58745,2139566
10/14/2021,6.95,7,6.85,6.85,6.520814,3096090
10/15/2021,6.89,6.93,6.83,6.93,6.59697,2363237
10/18/2021,6.94,7.02,6.85,6.86,6.530334,2821117
10/19/2021,6.83,6.89,6.7,6.71,6.387542,4486930
10/20/2021,6.75,6.835,6.73,6.79,6.463698,3355156
10/21/2021,6.8,6.8,6.6,6.64,6.320906,5192002
10/22/2021,6.64,6.75,6.62,6.73,6.406581,3234844
10/25/2021,6.76,6.83,6.73,6.8,6.473217,3121868
10/26/2021,6.84,6.87,6.69,6.73,6.406581,2735841
10/27/2021,6.73,6.91,6.71,6.85,6.520814,3066205
10/28/2021,6.8,6.9,6.76,6.85,6.520814,2199293
10/29/2021,6.85,6.87,6.8,6.8,6.473217,2562495
11/1/2021,6.85,6.93,6.76,6.92,6.58745,2428276
11/2/2021,6.9,6.96,6.85,6.87,6.539853,1310647
11/3/2021,6.9,6.97,6.87,6.94,6.606489,1694962
11/4/2021,6.95,7.11,6.95,7.1,6.7588,3303698
11/5/2021,7.1,7.26,7.05,7.22,6.873033,3533313
11/8/2021,7.25,7.3,7.08,7.18,6.834956,2945388
11/9/2021,7.11,7.14,7.05,7.07,6.730242,2641253
11/10/2021,7.1,7.16,7.07,7.1,6.7588,1656882
11/11/2021,7.09,7.13,7.045,7.11,6.76832,5279209
11/12/2021,7.1,7.15,7.04,7.07,6.730242,2685010
11/15/2021,7.11,7.17,7.06,7.11,6.76832,2546966
11/16/2021,7.12,7.13,7.05,7.09,6.749281,2133844
11/17/2021,7.12,7.24,7.11,7.14,6.796878,2546402
11/18/2021,7.18,7.24,7.13,7.16,6.815917,2823043
11/19/2021,7.22,7.3,7.12,7.13,6.787358,3620563
11/22/2021,7.11,7.12,7.05,7.08,6.739761,1540042
11/23/2021,7.1,7.2,7.08,7.16,6.815917,2070225
11/24/2021,7.18,7.19,7.11,7.12,6.777839,4007576
11/25/2021,7.17,7.18,7,7.09,6.749281,2251924
11/26/2021,7.1,7.13,7.03,7.06,6.720722,3755472
11/29/2021,6.9,6.95,6.83,6.85,6.520814,6259694
11/30/2021,6.8,6.87,6.72,6.85,6.520814,12082832
12/1/2021,6.78,6.82,6.71,6.75,6.42562,3590566
12/2/2021,6.7,6.77,6.68,6.75,6.42562,2620397
12/3/2021,6.76,6.77,6.65,6.66,6.339945,3212545
12/6/2021,6.69,6.79,6.65,6.72,6.397061,2655863
12/7/2021,6.84,6.88,6.74,6.78,6.454178,2973423
12/8/2021,6.82,6.97,6.82,6.95,6.616008,4157685
12/9/2021,6.91,6.93,6.85,6.88,6.549373,3485118
12/10/2021,6.89,6.94,6.79,6.82,6.492256,2271909
12/13/2021,6.9,6.91,6.81,6.86,6.530334,2181585
12/14/2021,6.79,6.85,6.59,6.63,6.311387,6900625
12/15/2021,6.62,6.66,6.52,6.62,6.301867,4181912
12/16/2021,6.7,6.7,6.59,6.66,6.339945,5047956
12/17/2021,6.71,7,6.67,6.92,6.58745,13162778
12/20/2021,6.85,6.94,6.75,6.76,6.43514,2546679
12/21/2021,6.86,6.88,6.77,6.78,6.454178,2100838
12/22/2021,6.79,6.84,6.755,6.82,6.492256,1720839
12/23/2021,6.82,6.85,6.78,6.8,6.473217,948633
12/24/2021,6.91,6.93,6.77,6.77,6.444658,1215351
12/29/2021,6.91,6.94,6.84,6.92,6.58745,1617501
12/30/2021,6.92,6.95,6.83,6.87,6.539853,1380494
12/31/2021,6.81,6.84,6.74,6.74,6.4161,1155786
1/4/2022,6.82,6.85,6.76,6.79,6.463698,1565344
1/5/2022,6.83,6.85,6.73,6.74,6.4161,1793693
1/6/2022,6.66,6.77,6.61,6.61,6.292348,2211051
1/7/2022,6.68,6.71,6.64,6.67,6.349464,1195017
1/10/2022,6.65,6.67,6.61,6.61,6.292348,1538594
1/11/2022,6.6,6.62,6.51,6.51,6.197154,2086005
1/12/2022,6.53,6.55,6.38,6.45,6.140037,4198063
1/13/2022,6.4,6.55,6.395,6.49,6.178114,3774291
1/14/2022,6.44,6.51,6.42,6.42,6.111478,2702133
1/17/2022,6.45,6.59,6.44,6.53,6.216192,3050278
1/18/2022,6.54,6.59,6.46,6.46,6.149556,2470667
1/19/2022,6.41,6.5,6.39,6.41,6.101959,2534189
1/20/2022,6.35,6.41,6.33,6.38,6.0734,3045842
1/21/2022,6.37,6.42,6.305,6.32,6.016284,2651751
1/24/2022,6.3,6.39,6.28,6.35,6.044842,3101664
1/25/2022,6.32,6.34,6.155,6.26,5.959168,6044119
1/27/2022,6.34,6.36,6.09,6.18,5.883012,4721238
1/28/2022,6.3,6.36,6.19,6.34,6.035323,15039130
