Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,4.610000,4.780000,4.490000,4.700000,4.690944,9696288
2022-05-25,4.720000,4.780000,4.650000,4.650000,4.641041,7196939
2022-05-26,4.620000,4.720000,4.550000,4.710000,4.700925,5779610
2022-05-27,4.750000,4.890000,4.725000,4.800000,4.790751,5269963
2022-05-30,4.860000,4.870000,4.760000,4.780000,4.770790,7078159
2022-05-31,4.800000,4.880000,4.740000,4.740000,4.730867,7617629
2022-06-01,4.730000,4.750000,4.550000,4.600000,4.591137,7587982
2022-06-02,4.550000,4.620000,4.460000,4.550000,4.541234,7782544
2022-06-03,4.460000,4.540000,4.350000,4.430000,4.421464,6398604
2022-06-06,4.410000,4.480000,4.380000,4.420000,4.411484,2214089
2022-06-07,4.420000,4.540000,4.420000,4.480000,4.471368,5809684
2022-06-08,4.410000,4.680000,4.410000,4.590000,4.581156,7106932
2022-06-09,4.510000,4.620000,4.460000,4.570000,4.561195,7763818
2022-06-10,4.560000,4.610000,4.500000,4.550000,4.541234,4407322
2022-06-14,4.320000,4.590000,4.230000,4.590000,4.581156,6953619
2022-06-15,4.640000,4.700000,4.420000,4.490000,4.481349,8715324
2022-06-16,4.500000,4.590000,4.460000,4.520000,4.511291,6683374
2022-06-17,4.410000,4.510000,4.350000,4.500000,4.491330,14847536
2022-06-20,4.420000,4.535000,4.420000,4.500000,4.491330,6450709
2022-06-21,4.550000,4.560000,4.410000,4.520000,4.511291,8297773
2022-06-22,4.460000,4.520000,4.450000,4.460000,4.451406,5075481
2022-06-23,4.540000,4.550000,4.470000,4.530000,4.521272,3618275
2022-06-24,4.580000,4.625000,4.540000,4.580000,4.571175,4284677
2022-06-27,4.630000,4.630000,4.470000,4.560000,4.551214,3811453
2022-06-28,4.550000,4.550000,4.430000,4.540000,4.531252,5184871
2022-06-29,4.450000,4.530000,4.320000,4.420000,4.411484,6932301
2022-06-30,4.450000,4.560000,4.430000,4.520000,4.511291,5533030
2022-07-01,4.520000,4.560000,4.480000,4.480000,4.471368,3240242
2022-07-04,4.570000,4.590000,4.470000,4.570000,4.561195,4865553
2022-07-05,4.560000,4.680000,4.560000,4.600000,4.591137,3768144
2022-07-06,4.610000,4.670000,4.580000,4.600000,4.591137,4374750
2022-07-07,4.630000,4.630000,4.560000,4.600000,4.591137,4888888
2022-07-08,4.560000,4.600000,4.510000,4.540000,4.531252,3818511
2022-07-11,4.550000,4.560000,4.470000,4.520000,4.511291,4785191
2022-07-12,4.500000,4.530000,4.470000,4.500000,4.491330,4189599
2022-07-13,4.540000,4.540000,4.460000,4.510000,4.501310,4993359
2022-07-14,4.450000,4.530000,4.450000,4.530000,4.521272,3963148
2022-07-15,4.500000,4.560000,4.500000,4.550000,4.541234,2801029
2022-07-18,4.570000,4.590000,4.450000,4.510000,4.501310,2900453
2022-07-19,4.480000,4.490000,4.420000,4.460000,4.451406,4446641
2022-07-20,4.520000,4.560000,4.450000,4.470000,4.461387,5114539
2022-07-21,4.470000,4.510000,4.440000,4.480000,4.471368,4708081
2022-07-22,4.460000,4.490000,4.410000,4.440000,4.431445,5313300
2022-07-25,4.460000,4.500000,4.430000,4.430000,4.421464,2789531
2022-07-26,4.430000,4.465000,4.375000,4.390000,4.381541,4053081
2022-07-27,4.330000,4.480000,4.250000,4.470000,4.461387,5802256
2022-07-28,4.500000,4.525000,4.420000,4.520000,4.511291,4030102
2022-07-29,4.540000,4.540000,4.480000,4.540000,4.531252,4484876
2022-08-01,4.570000,4.615000,4.540000,4.600000,4.591137,4174415
2022-08-02,4.670000,4.670000,4.570000,4.650000,4.641041,4280313
2022-08-03,4.600000,4.625000,4.530000,4.580000,4.571175,4032597
2022-08-04,4.660000,4.660000,4.570000,4.590000,4.581156,3626320
2022-08-05,4.610000,4.650000,4.550000,4.640000,4.631060,2448908
2022-08-08,4.600000,4.615000,4.500000,4.500000,4.491330,2691239
2022-08-09,4.510000,4.530000,4.460000,4.510000,4.501310,4084053
2022-08-10,4.460000,4.540000,4.460000,4.520000,4.511291,3883096
2022-08-11,4.540000,4.610000,4.465000,4.510000,4.501310,3827063
2022-08-12,4.540000,4.550000,4.470000,4.500000,4.491330,3814780
2022-08-15,4.520000,4.540000,4.490000,4.500000,4.491330,2660481
2022-08-16,4.510000,4.515000,4.450000,4.510000,4.501310,2688339
2022-08-17,4.570000,4.590000,4.460000,4.530000,4.521272,6333330
2022-08-18,4.540000,4.560000,4.470000,4.520000,4.511291,3270854
2022-08-19,4.520000,4.520000,4.460000,4.470000,4.461387,4295001
2022-08-22,4.450000,4.495000,4.440000,4.470000,4.461387,4325686
2022-08-23,4.450000,4.480000,4.380000,4.440000,4.431445,4727375
2022-08-24,4.530000,4.530000,4.320000,4.370000,4.361580,4572043
2022-08-25,4.360000,4.440000,4.290000,4.430000,4.421464,7642769
2022-08-26,4.360000,4.425000,4.360000,4.390000,4.381541,6741550
2022-08-29,4.350000,4.405000,4.340000,4.360000,4.351599,4104500
2022-08-30,4.350000,4.410000,4.310000,4.370000,4.361580,4430469
2022-08-31,4.330000,4.450000,4.310000,4.420000,4.411484,5979903
2022-09-01,4.330000,4.550000,4.330000,4.510000,4.501310,8735741
2022-09-02,4.530000,4.560000,4.475000,4.480000,4.471368,3347353
2022-09-05,4.460000,4.470000,4.340000,4.400000,4.391522,2116103
2022-09-06,4.400000,4.430000,4.350000,4.380000,4.371561,2990560
